"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","透天厝(含車位)","台中市西屯區西屯路三段141巷1~30號","11.4","5房/3廳/3衛","1 /共4層","81.85","26.33","--",0,25.7,2100
"10402(實價)","住宅大樓(含車位)","台中市西屯區福祥街1~30號","18.5","4房/2廳/2衛","5 /共13層","82.08","11.62","--",0,17.1,1400
"10402(實價)","住宅大樓","台中市西屯區永福路121~150號","18.8","3房/2廳/2衛","19 /共19層","38.2","4.58","--",0,18.2,695
"10402(實價)","住宅大樓","台中市西屯區福科路391~420號","21.5","4房/2廳/2衛","14 /共14層","23.67","2.2","--",0,16.6,392
"10402(實價)","套房","台中市西屯區永福路121~150號","18.8","0房/0廳/0衛","14 /共19層","12.29","1.47","--",0,15.1,185
"10402(實價)","套房","台中市西屯區福雅路151~180號","22.1","1房/0廳/1衛","4 /共15層","13.28","1.42","--",0,15.6,207
"10402(實價)","套房","台中市西屯區永福路121~150號","18.8","1房/1廳/1衛","13 /共19層","13.91","1.67","--",0,18.3,255
"10401(實價)","透天厝","台中市西屯區福科路428巷1~30號","9.1","4房/2廳/1衛","1 /共3層","78.08","31","--",0,28.3,2210
"10401(實價)","住宅大樓(含車位)","台中市西屯區西屯區永福路31~60號","21","3房/2廳/2衛","16 /共16層","37.76","3.91","--",0,16.4,620
"10401(實價)","住宅大樓","台中市西屯區永福路121~150號","18.7","3房/2廳/2衛","17 /共19層","35.47","4.27","--",0,18.6,660
"10401(實價)","住宅大樓","台中市西屯區福科路340巷1~30號","20.4","2房/2廳/1衛","13 /共15層","23.29","2.65","--",0,18.7,435
"10401(實價)","套房","台中市西屯區永福路121~150號","18.7","1房/1廳/1衛","4 /共19層","10.06","1.21","--",0,23,231
"10401(實價)","住宅大樓","台中市西屯區西屯路三段151~180號","23.3","3房/2廳/2衛","3 /共16層","31.13","3.32","--",0,14.8,460
"10401(實價)","住宅大樓(含車位)","台中市西屯區福雅路151~180號","22","4房/2廳/3衛","14 /共15層","77.26","7.57","--",0,13.7,1060
"10401(實價)","住宅大樓","台中市西屯區永福路121~150號","18.7","2房/1廳/1衛","15 /共19層","24.83","2.94","--",0,18.7,465
"10401(實價)","住宅大樓(含車位)","台中市西屯區西屯路三段159之11巷9弄1~30號","21.2","3房/2廳/2衛","4 /共15層","37.28","4.71","--",0,18.2,678
"10312(實價)","住宅大樓(含車位)","台中市西屯區福安路61~90號","6.5","4房/2廳/3衛","14 /共15層","103.67","11.78","14.38",0,28.9,3000
"10312(實價)","住宅大樓(含車位)","台中市西屯區福雅里福安路61~90號","6.5","4房/2廳/2衛","7 /共15層","63.45","7.21","14.99",0,23.3,1480
"10312(實價)","套房","台中市西屯區福雅路151~180號","21.9","0房/0廳/0衛","7 /共15層","13.81","1.52","--",0,15.6,215
"10312(實價)","透天厝","台中市西屯區福順路295巷7弄1~30號","9","3房/3廳/4衛","1 /共4層","92.85","40.56","--",0,26.9,2500
"10312(實價)","套房","台中市西屯區永福路121~150號","18.6","1房/0廳/1衛","7 /共19層","12.62","1.5","--",0,19.2,243
"10312(實價)","住宅大樓","台中市西屯區福科路391~420號","21.3","3房/2廳/2衛","14 /共14層","34.91","3.2","--",0,14,490
"10312(實價)","透天厝(含車位)","台中市西屯區福安路31~60號","11.2","3房/3廳/3衛","1 /共4層","71.1","21.58","--",0,25.5,1810
"10312(實價)","住宅大樓","台中市西屯區永福路61~90號","21.3","3房/2廳/2衛","11 /共14層","36.97","3.8","--",0,18.2,673
"10312(實價)","住宅大樓","台中市西屯區福雅路151~180號","20.9","3房/2廳/2衛","9 /共12層","35.56","4.13","--",0,14.8,525
"10312(實價)","住宅大樓","台中市西屯區福科路411巷1~30號","21.3","3房/2廳/2衛","14 /共14層","34.87","3.6","--",0,18.3,638
"10312(實價)","透天厝","台中市西屯區福科路335巷1~30號","0.2","4房/2廳/4衛","1 /共5層","56.82","19.55","--",0,24.6,1400
"10312(實價)","透天厝","台中市西屯區福科路335巷1~30號","0.2","5房/2廳/6衛","1 /共5層","107.52","54.27","--",0,30.2,3250
"10311(實價)","公寓","台中市西屯區臺灣大道四段786巷31~60號","34.1","3房/2廳/2衛","3 /共5層","28.57","10.57","--",0,14.9,425
