"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","透天厝","台中市大里區六桂路121~150號","33.5","7房/1廳/3衛","1 /共3層","55.66","34.35","--",0,18,1000
"10403(實價)","華廈","台中市大里區益民路二段285巷1~30號","22.8","2房/2廳/1衛","7 /共7層","22.77","3.25","--",0,12.8,292
"10403(實價)","住宅大樓","台中市大里區東榮路421~450號","23.4","2房/1廳/1衛","6 /共12層","20.51","2.43","--",0,12.2,250
"10403(實價)","住宅大樓","台中市大里區東榮路421~450號","23.4","2房/2廳/1衛","11 /共12層","20.39","2.38","--",0,10.9,223
"10402(實價)","住宅大樓(含車位)","台中市大里區至聖路31~60號","24","4房/2廳/2衛","9 /共12層","51","8.07","--",0,10.4,531
"10402(實價)","公寓","台中市大里區永興路28巷1~30號","32.1","2房/2廳/1衛","4 /共5層","20.03","6.3","--",0,8.7,175
"10402(實價)","華廈(含車位)","台中市大里區至聖路22巷1~30號","22.7","1房/2廳/2衛","1 /共6層","37.49","7.87","--",0,14.3,535
"10402(實價)","透天厝","台中市大里區六桂路5巷1~30號","27.4","7房/3廳/3衛","1 /共2層","42.85","31.71","--",0,31.5,1350
"10402(實價)","華廈(含車位)","台中市大里區大德街1~30號","19.8","4房/2廳/2衛","3 /共11層","106.27","7.72","--",0,4.1,440
"10401(實價)","透天厝","台中市大里區永隆二街89巷1~30號","16.7","3房/3廳/3衛","1 /共5層","49.77","26.99","--",0,26.1,1300
"10401(實價)","透天厝","台中市大里區新里里永大街18巷1~30號","1.6","4房/2廳/5衛","1 /共4層","80.76","39.09","--",0,41,3310
"10401(實價)","華廈","台中市大里區東明路361~390號","22.7","3房/2廳/2衛","4 /共7層","27.35","6.65","--",0,11.3,310
"10312(實價)","透天厝","台中市大里區永興路50巷9弄1~30號","4","7房/2廳/3衛","1 /共4層","66.08","48.17","--",0,25.7,1700
"10312(實價)","華廈(含車位)","台中市大里區至聖路31~60號","23.8","3房/2廳/2衛","4 /共12層","77.06","8.07","--",0,5.2,400
"10312(實價)","住宅大樓","台中市大里區益民路二段271~300號","19.7","2房/2廳/2衛","1 /共12層","35.37","0.39","--",0,28.6,1011
"10312(實價)","透天厝","台中市大里區至聖路31~60號","8.6","4房/3廳/4衛","1 /共4層","65.37","29.89","--",0,25.9,1690
"10312(實價)","透天厝","台中市大里區永隆路241~270號","8.5","0房/0廳/0衛","1 /共4層","142.18","55.12","--",0,22.5,3200
"10312(實價)","住宅大樓(含車位)","台中市大里區大德街1~30號","19.6","3房/2廳/2衛","10 /共11層","42.24","7.26","--",0,10.4,440
"10311(實價)","華廈","台中市大里區益民路二段181~210號","21.6","3房/2廳/2衛","7 /共7層","44.92","7.47","--",0,13,583
"10311(實價)","住宅大樓","台中市大里區至聖路31~60號","23.8","3房/2廳/2衛","5 /共12層","51.32","8.07","--",0,9.7,498
"10311(實價)","透天厝","台中市大里區東榮路631~660號","4.3","5房/4廳/4衛","1 /共5層","88.91","31.04","--",0,36.6,3250
"10311(實價)","華廈","台中市大里區大成街31~60號","21.1","3房/2廳/1衛","5 /共6層","36.52","7.6","--",0,10.3,375
"10311(實價)","透天厝","台中市大里區永隆三街1~30號","16.3","5房/3廳/3衛","1 /共4層","60.58","21.14","--",0,28.6,1730
"10310(實價)","華廈","台中市大里區永興路211~240號","22.2","2房/2廳/1衛","1 /共7層","70.96","28.57","--",0,18.3,1300
"10310(實價)","住宅大樓(含車位)","台中市大里區至聖路31~60號","23.7","4房/2廳/2衛","6 /共12層","51","8.07","--",0,11.8,600
"10310(實價)","透天厝","台中市大里區六桂路61~90號","33.1","6房/2廳/3衛","1 /共3層","100.93","42.28","--",0,12.6,1268
"10310(實價)","華廈(含車位)","台中市大里區至聖路22巷1~30號","22.3","3房/2廳/1衛","3 /共6層","38.64","8.16","--",0,11.9,460
"10310(實價)","透天厝","台中市大里區永大街77巷19弄1~30號","10.4","4房/3廳/3衛","1 /共4層","63.88","30.1","--",0,20.4,1300
"10310(實價)","華廈(含車位)","台中市大里區益民路二段181~210號","21.5","3房/2廳/2衛","5 /共7層","47.23","7.01","5.03",0,11.3,532
