"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","公寓","新北市蘆洲區信義路157巷2弄1~30號","31.5","3房/2廳/2衛","5 /共5層","28.75","8.14","--",0,40,1150
"10403(實價)","華廈(含車位)","新北市三重區永福街91~120號","20.4","4房/2廳/2衛","4 /共7層","60.5","10.65","--",0,16.5,1000
"10403(實價)","公寓","新北市三重區車路頭街122巷1~30號","25.1","0房/0廳/0衛","1 /共5層","47.32","11.23","--",0,28.5,1350
"10403(實價)","住宅大樓","新北市三重區慈愛街1~30號","0.9","3房/1廳/2衛","7 /共13層","36.08","4.76","--",0,47.9,1730
"10402(實價)","透天厝","新北市三重區三和路四段181巷91~120號","47.7","4房/3廳/3衛","1 /共2層","27.83","17.24","--",0,58.4,1624
"10402(實價)","公寓","新北市三重區下竹圍街93巷1~30號","29.6","2房/2廳/1衛","3 /共5層","26.82","9.14","--",0,29.5,790
"10402(實價)","公寓","新北市三重區三和路四段211~240號","35.4","4房/1廳/1衛","4 /共5層","18.45","4.11","--",0,28.2,520
"10402(實價)","公寓","新北市三重區三和路四段215巷31~60號","35.4","3房/2廳/1衛","3 /共5層","22.39","5.81","--",0,33.2,743
"10402(實價)","公寓","新北市三重區三和路四段125巷31~60號","36.2","3房/1廳/1衛","3 /共4層","22.39","7.49","--",0,14.7,330
"10401(實價)","公寓","新北市三重區聯華街121~150號","44.3","3房/1廳/1衛","2 /共4層","25.65","8.62","--",0,19.5,500
"10401(實價)","公寓","新北市三重區三和路四段167巷31~60號","45.1","3房/2廳/1衛","4 /共4層","20.96","5.82","--",0,29.6,620
"10401(實價)","公寓","新北市三重區永福街1~30號","34.6","3房/2廳/2衛","3 /共5層","28.12","6.29","--",0,10,281
"10401(實價)","公寓","新北市三重區車路頭街122巷31~60號","39.2","3房/2廳/1衛","3 /共4層","20.87","6.2","--",0,27.3,570
"10401(實價)","公寓","新北市三重區車路頭街131巷1~30號","20.3","2房/1廳/1衛","3 /共5層","14.67","3.75","--",0,30.4,446
"10401(實價)","套房","新北市三重區車路頭街117巷1~30號","19.3","1房/1廳/1衛","1 /共5層","11.85","3.75","--",0,52.2,618
"10401(實價)","住宅大樓","新北市三重區慈愛街1~30號","0.8","3房/2廳/2衛","2 /共13層","42.98","5.66","--",0,43,1848
"10401(實價)","住宅大樓","新北市三重區仁愛街721~750號","19.8","5房/0廳/5衛","6 /共12層","35.86","5.19","--",0,39,1400
"10312(實價)","公寓","新北市三重區三和路四段390巷31~60號","28.8","4房/2廳/2衛","4 /共5層","32.31","9.46","--",0,26.9,870
"10312(實價)","公寓","新北市三重區仁美街108巷31~60號","41.3","4房/4廳/2衛","1 /共4層","23.06","12.1","--",0,19.5,450
"10312(實價)","公寓","新北市三重區力行路二段123巷1~30號","36","3房/1廳/1衛","3 /共5層","24.81","4.94","--",0,7.8,193
"10312(實價)","公寓","新北市三重區三和路四段91~120號","31","3房/2廳/1衛","2 /共5層","22.71","6.37","--",0,29.2,663
"10312(實價)","公寓","新北市三重區三和路四段396巷1~30號","37","0房/0廳/0衛","1 /共4層","25.11","6.96","--",0,48.6,1220
