"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10402(實價)","套房","新竹縣竹北市文采街31~60號","7.2","1房/1廳/1衛","4 /共5層","11.61","3.03","--",0,24.3,282
"10402(實價)","華廈(含車位)","新竹縣竹北市縣政一街241~270號","8.8","2房/2廳/2衛","9 /共9層","45.76","9.18","--",0,18.6,850
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市文信路61~90號","1.7","3房/2廳/2衛","2 /共14層","100.4","13.56","--",0,18.3,1833
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市文信路61~90號","1.7","3房/2廳/2衛","3 /共14層","97.41","13.56","--",0,18.8,1828
"10402(實價)","透天厝","新竹縣竹北市文化里吳濁流路61~90號","3.5","0房/0廳/0衛","1 /共5層","121.83","43.05","--",0,36.9,4500
"10401(實價)","套房(含車位)","新竹縣竹北市文義街121~150號","8.4","1房/1廳/1衛","5 /共7層","14.98","2.75","--",0,23.9,358
"10401(實價)","華廈(含車位)","新竹縣竹北市縣政一街241~270號","8.8","4房/2廳/2衛","0 /共9層","45.79","9.18","--",0,16.8,770
"10401(實價)","透天厝","新竹縣竹北市光明一路25巷1~30號","11.4","4房/2廳/4衛","1 /共4層","108.73","35.23","--",0,19.3,2100
"10401(實價)","華廈(含車位)","新竹縣竹北市文仁街61~90號","10.7","3房/2廳/2衛","7 /共7層","46.54","12.07","--",0,18.7,870
"10401(實價)","住宅大樓(含車位)","新竹縣竹北市文信路271~300號","9.6","0房/0廳/0衛","1 /共11層","44.53","7.18","5",0,5.3,237
"10401(實價)","套房","新竹縣竹北市文采街121~150號","9.8","1房/1廳/1衛","4 /共5層","8.5","3","--",0,22.4,190
"10312(實價)","華廈(含車位)","新竹縣竹北市文信路211~240號","2.1","0房/0廳/0衛","1 /共9層","84.62","14.88","23.37",250,47.3,3150
"10312(實價)","透天厝","新竹縣竹北市文仁街31~60號","6.8","4房/2廳/3衛","1 /共4層","83.55","35.92","--",0,27.1,2268
"10312(實價)","透天厝","新竹縣竹北市嘉勤北路31~60號","10.1","5房/4廳/2衛","1 /共5層","63.67","31.7","--",0,22.9,1458
"10312(實價)","華廈(含車位)","新竹縣竹北市縣政二路211~240號","9.6","4房/2廳/2衛","4 /共10層","56.16","9.28","--",0,18.3,1030
"10312(實價)","套房","新竹縣竹北市文采街121~150號","9.8","1房/1廳/1衛","4 /共5層","8.62","3","--",0,25.5,220
"10312(實價)","住宅大樓(含車位)","新竹縣竹北市文采街61~90號","9.3","4房/2廳/2衛","5 /共14層","61.46","10.63","10.14",0,18.7,1150
"10312(實價)","華廈(含車位)","新竹縣竹北市仁義路180巷1~30號","20.3","3房/1廳/2衛","3 /共7層","43.66","5.92","--",0,13.7,600
"10312(實價)","華廈(含車位)","新竹縣竹北市文仁街61~90號","7.8","3房/2廳/2衛","7 /共10層","56.58","9.4","--",0,19.2,1088
"10312(實價)","套房","新竹縣竹北市文采街121~150號","9.8","0房/0廳/1衛","3 /共5層","9.22","3","--",0,24.9,230
"10312(實價)","華廈(含車位)","新竹縣竹北市縣政一街31~60號","10.3","2房/2廳/2衛","4 /共6層","22.94","6.43","--",0,19.2,440
"10312(實價)","華廈","新竹縣竹北市四維街95巷1~30號","21.6","3房/2廳/2衛","5 /共6層","34.25","6.98","--",0,14.5,498
"10312(實價)","透天厝","新竹縣竹北市民族街14巷1~30號","33","4房/2廳/2衛","1 /共2層","33.2","52.13","--",0,24.7,820
"10311(實價)","住宅大樓(含車位)","新竹縣竹北市文信路271~300號","9.4","4房/2廳/2衛","3 /共11層","78.05","12.84","--",0,20.6,1605
"10311(實價)","華廈(含車位)","新竹縣竹北市嘉仁街121~150號","10.8","4房/2廳/2衛","10 /共10層","66.57","11.66","--",0,17.7,1180
"10311(實價)","透天厝","新竹縣竹北市文平路1~30號","10.4","5房/5廳/2衛","1 /共5層","95.51","30.53","--",0,26.2,2500
"10311(實價)","住宅大樓(含車位)","新竹縣竹北市嘉仁街31~60號","7.1","4房/2廳/2衛","10 /共15層","70.03","10.06","15.6",0,20.3,1420
"10311(實價)","住宅大樓(含車位)","新竹縣竹北市文信路61~90號","1.4","3房/2廳/2衛","8 /共14層","97.4","13.56","--",0,20,1950
"10311(實價)","華廈(含車位)","新竹縣竹北市三民路91~120號","21","2房/2廳/1衛","4 /共7層","25.33","4.42","--",0,12.5,317
"10311(實價)","套房(含車位)","新竹縣竹北市文義街121~150號","8.3","1房/1廳/1衛","2 /共7層","16.08","3","--",0,17.7,285
"10311(實價)","華廈(含車位)","新竹縣竹北市文采街31~60號","9.6","4房/2廳/2衛","1 /共10層","57.32","11.24","--",0,22.3,1280
"10311(實價)","公寓","新竹縣竹北市文采街121~150號","9.7","1房/0廳/1衛","4 /共5層","9.33","3","--",0,19.3,180
"10311(實價)","住宅大樓(含車位)","新竹縣竹北市文信路61~90號","1.4","3房/2廳/2衛","8 /共14層","106.4","13.56","--",0,18,1920
"10311(實價)","華廈(含車位)","新竹縣竹北市縣政二路211~240號","9.5","3房/2廳/2衛","7 /共10層","42.95","6.92","--",0,21,900
"10310(實價)","透天厝","新竹縣竹北市光明五街1~30號","10.6","5房/2廳/4衛","1 /共5層","64.7","24.41","--",0,23.2,1500
"10310(實價)","住宅大樓(含車位)","新竹縣竹北市文信路61~90號","1.3","3房/2廳/2衛","5 /共14層","100.39","13.56","--",0,18.2,1825
"10310(實價)","套房","新竹縣竹北市文采街31~60號","6.8","1房/1廳/1衛","4 /共5層","8.77","2.32","--",0,26.9,236
"10310(實價)","住宅大樓(含車位)","新竹縣竹北市文信路61~90號","1.3","3房/2廳/2衛","3 /共14層","98.9","13.56","--",0,17.9,1770
"10310(實價)","華廈(含車位)","新竹縣竹北市民族街31~60號","20.4","3房/2廳/2衛","3 /共7層","41.04","7.33","--",0,11.7,480
"10310(實價)","透天厝","新竹縣竹北市三民路91~120號","31.5","4房/2廳/3衛","1 /共4層","123.98","55.06","--",0,23.4,2900
"10310(實價)","華廈(含車位)","新竹縣竹北市民權街61~90號","16","3房/2廳/2衛","7 /共8層","37.51","6.58","--",0,20,750
"10310(實價)","住宅大樓(含車位)","新竹縣竹北市文信路61~90號","1.3","3房/2廳/2衛","14 /共14層","113.4","13.62","--",0,17.9,2030
"10310(實價)","透天厝","新竹縣竹北市嘉仁街139巷1~30號","11.4","4房/3廳/3衛","1 /共5層","67.77","27.16","--",0,21.5,1460
