"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10401(實價)","華廈(含車位)","桃園市楊梅區中山北路一段12巷2弄1~30號","22.1","3房/2廳/2衛","4 /共6層","42.66","9.6","--",0,10.2,435
"10312(實價)","透天厝","桃園市楊梅區新農街4巷1~30號","32","5房/2廳/3衛","1 /共4層","46.95","9.92","--",0,12.8,600
"10312(實價)","公寓","桃園市楊梅區武營街106巷1~30號","34.8","2房/1廳/1衛","2 /共4層","16.68","8.85","--",0,11.4,190
"10312(實價)","華廈","桃園市楊梅區梅山東街151~180號","22.9","4房/2廳/2衛","2 /共7層","57.51","8.46","--",0,7,400
"10311(實價)","住宅大樓(含車位)","桃園縣楊梅市大模街61~90號","6.2","3房/1廳/2衛","4 /共12層","49.82","5.17","--",80,11.6,580
"10311(實價)","透天厝","桃園市楊梅區校前路32巷50弄1~30號","35.8","4房/2廳/3衛","1 /共2層","29.68","22.69","--",0,23.6,700
"10310(實價)","華廈","桃園市楊梅區梅山東街151~180號","22.8","2房/1廳/2衛","4 /共7層","18.22","2.89","--",0,10.5,190
"10310(實價)","公寓","桃園縣楊梅市梅山東街1~30號","19.4","2房/2廳/2衛","3 /共5層","22.76","6.96","--",0,8.8,200
