"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","住宅大樓(含車位)","基隆市中正區義一路121~150號","12.7","3房/2廳/2衛","11 /共14層","66.15","4.87","--",0,25.1,1660
"10403(實價)","華廈","基隆市中正區正義路1~30號","36.9","3房/2廳/2衛","1 /共6層","30.34","4.94","--",0,29.7,900
"10403(實價)","華廈","基隆市中正區義二路151~180號","18.5","1房/1廳/1衛","2 /共7層","11.81","1.73","--",0,22.4,265
"10403(實價)","公寓","基隆市中正區正義路80巷1~30號","25.8","3房/2廳/2衛","1 /共4層","37.72","10.97","--",0,14.6,550
"10402(實價)","公寓","基隆市中正區信五路1~30號","39.5","3房/1廳/2衛","4 /共4層","36.92","11.33","--",0,12.5,462
"10402(實價)","公寓","基隆市中正區中正路80巷1~30號","17.8","1房/1廳/1衛","2 /共5層","18.97","5.63","--",0,9.5,180
"10402(實價)","公寓","基隆市中正區正義路2巷31~60號","30.1","4房/4廳/2衛","-3 /共4層","23.98","2.53","--",0,3.8,90
"10402(實價)","公寓","基隆市中正區正義路2巷31~60號","30.1","4房/4廳/2衛","-3 /共4層","28.64","2.53","--",0,3.1,90
"10402(實價)","公寓","基隆市中正區正義路2巷31~60號","30.1","3房/2廳/1衛","2 /共4層","34.54","9.48","--",0,7.2,250
"10402(實價)","套房","基隆市中正區正義路1~30號","28.6","1房/0廳/1衛","4 /共5層","15.21","3.28","--",0,11.2,170
"10401(實價)","華廈(含車位)","基隆市中正區信三路28巷1~30號","2.4","3房/2廳/2衛","4 /共7層","46.72","8.95","4.66",0,25.7,1200
"10401(實價)","公寓","基隆市中正區中船路14巷15弄31~60號","18.6","2房/2廳/2衛","4 /共5層","16.56","4.48","--",0,10,165
"10401(實價)","華廈","基隆市中正區義一路61~90號","17.7","3房/1廳/0衛","3 /共10層","30.23","3.04","--",0,15.2,460
"10401(實價)","華廈(含車位)","基隆市中正區義一路61~90號","17.7","3房/1廳/0衛","3 /共10層","43.03","3.55","7.73",50,15.3,590
"10401(實價)","透天厝","基隆市中正區正義路30巷1~30號","58.4","2房/2廳/2衛","1 /共2層","24.41","16.64","--",0,23.4,570
"10401(實價)","公寓","基隆市中正區義二路31~60號","28.8","2房/1廳/2衛","3 /共5層","23.17","5.2","--",0,25,580
"10401(實價)","公寓","基隆市中正區正義路100巷1~30號","47","2房/1廳/1衛","2 /共3層","14.74","7.16","--",0,6.8,100
"10401(實價)","公寓","基隆市中正區正義路2巷31~60號","30","2房/1廳/1衛","-3 /共4層","22.3","5.63","--",0,4.5,100
"10312(實價)","公寓","基隆市中正區信二路301~330號","36.1","4房/1廳/4衛","1 /共5層","77.19","18.76","--",0,19.2,1480
"10312(實價)","華廈","基隆市信義區信二路241~270號","23.6","3房/2廳/2衛","3 /共8層","49.7","6.99","--",0,25.2,1250
"10312(實價)","公寓","基隆市中正區中正路61~90號","35.6","2房/2廳/2衛","2 /共5層","31.29","8.16","--",0,12.8,400
"10312(實價)","公寓","基隆市中正區正義路2巷31~60號","29.9","3房/2廳/1衛","-4 /共0層","28.67","7.32","--",0,7.3,210
"10312(實價)","套房","基隆市中正區正義路29巷1~30號","18.3","1房/1廳/1衛","3 /共7層","9.53","1.41","--",0,16.8,160
"10312(實價)","公寓","基隆市中正區中船路14巷5弄1~30號","33.7","2房/1廳/1衛","5 /共5層","18.23","6.1","--",0,12.6,230
"10312(實價)","公寓","基隆市中正區正義路1~30號","35.6","3房/2廳/1衛","3 /共5層","21.44","5.14","--",0,11.1,238
"10311(實價)","公寓","基隆市中正區義二路61~90號","27.2","3房/2廳/2衛","3 /共5層","35.72","9.01","--",0,19.6,700
"10311(實價)","公寓","基隆市中正區義二路224巷1~30號","20.8","2房/1廳/1衛","2 /共5層","15.26","4.48","--",0,12.4,190
"10311(實價)","公寓","基隆市中正區正義路100巷121~150號","40.4","2房/1廳/1衛","2 /共2層","14.86","9.07","--",0,5.7,85
"10311(實價)","華廈","基隆市中正區正義路74巷31~60號","13.3","2房/1廳/1衛","1 /共5層","21.81","6.06","--",0,13,283
"10311(實價)","華廈","基隆市中正區正義路74巷31~60號","13.3","2房/1廳/1衛","2 /共5層","21.81","6.06","--",0,15.1,330
"10311(實價)","透天厝","基隆市中正區義二路181~210號","35.9","3房/3廳/4衛","1 /共4層","35.96","11.48","--",0,15.3,550
"10311(實價)","公寓","基隆市中正區信五路20巷1~30號","40.8","2房/1廳/1衛","1 /共4層","12.66","4.39","--",0,15.8,200
"10311(實價)","公寓","基隆市中正區信五路20巷1~30號","35.9","2房/2廳/1衛","2 /共4層","19.03","4.5","--",0,14.6,277
"10311(實價)","華廈","基隆市中正區義二路91~120號","14.8","4房/3廳/4衛","4 /共10層","58.68","6.47","--",0,22.2,1300
"10311(實價)","公寓","基隆市中正區正義路100巷1~30號","38.8","2房/1廳/1衛","3 /共4層","17.08","7.64","--",0,12.3,210
"10310(實價)","透天厝","基隆市中正區義一路91~120號","45","9房/3廳/4衛","1 /共4層","79.1","23.39","--",0,19,1500
"10310(實價)","華廈(含車位)","基隆市中正區正義路2巷91~120號","19.1","3房/2廳/2衛","2 /共5層","47.9","15.52","--",0,12.5,600
"10310(實價)","公寓","基隆市中正區正義路2巷31~60號","29.8","3房/1廳/1衛","-4 /共4層","22.58","5.72","--",0,7.1,160
"10310(實價)","公寓","基隆市中正區中船路5巷1~30號","40.7","3房/2廳/1衛","4 /共4層","17.78","0","--",0,4.8,85
"10310(實價)","公寓","基隆市中正區正義路30巷31~60號","33.2","2房/1廳/1衛","4 /共6層","20.52","5.5","--",0,5.8,120
"10310(實價)","公寓","基隆市中正區正義路74巷30弄31~60號","42.6","3房/1廳/1衛","1 /共2層","12.94","10.13","--",0,4.2,55
