"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10402(實價)","套房","台中市北屯區天津路四段301~330號","19.7","1房/0廳/1衛","20 /共24層","9.06","0.6","--",0,15.8,143
"10402(實價)","住宅大樓","台中市北屯區天津路四段301~330號","19.7","1房/0廳/1衛","14 /共24層","7.39","0.48","--",0,10.2,75
"10402(實價)","公寓","台中市北屯區天津路四段151~180號","30.4","3房/2廳/2衛","1 /共5層","40.63","9.85","--",0,9.8,400
"10402(實價)","住宅大樓(含車位)","台中市北屯區柳陽西街61~90號","2.5","4房/2廳/2衛","14 /共14層","49.57","5.03","--",0,20.2,1000
"10402(實價)","華廈(含車位)","台中市北屯區遼陽四街61~90號","24.3","2房/1廳/1衛","7 /共7層","22.84","3.82","--",0,18.2,415
"10402(實價)","住宅大樓(含車位)","台中市北屯區柳陽西街93巷1~30號","19.5","4房/2廳/2衛","2 /共16層","42.91","4.62","--",0,14.4,620
"10402(實價)","華廈","台中市北屯區安順東十街1~30號","20.2","3房/2廳/2衛","4 /共8層","34.06","5.12","--",0,13.4,455
"10402(實價)","住宅大樓(含車位)","台中市北屯區文心路四段811~840號","18.7","3房/2廳/2衛","10 /共24層","53.7","3.01","--",0,18.2,980
"10401(實價)","公寓","台中市北屯區安順四街1~30號","28.8","3房/1廳/1衛","5 /共5層","19.16","5","--",0,11,210
"10401(實價)","住宅大樓(含車位)","台中市北屯區大連路三段1~30號","24.4","3房/2廳/2衛","8 /共12層","36.17","3.63","--",0,14.5,526
"10401(實價)","華廈","台中市北屯區大連路三段21巷31~60號","22.3","3房/2廳/2衛","4 /共8層","40.67","7.15","--",0,14.3,580
"10401(實價)","住宅大樓(含車位)","台中市北屯區平順里柳陽西街93巷1~30號","19.4","3房/2廳/2衛","1 /共16層","1475.35","2.24","--",0,0.3,500
"10401(實價)","住宅大樓(含車位)","台中市北屯區昌平路一段151~180號","20.8","0房/0廳/0衛","13 /共13層","45.32","3.98","--",0,14.2,645
"10401(實價)","套房","台中市北屯區天津路四段301~330號","19.6","1房/0廳/1衛","4 /共24層","9.06","0.6","--",0,14.1,128
"10401(實價)","公寓","台中市北屯區熱河路二段151~180號","31.8","3房/1廳/1衛","4 /共5層","21.6","5.06","--",0,8.3,180
"10401(實價)","華廈(含車位)","台中市北屯區安順東十街1~30號","25.2","4房/2廳/2衛","7 /共7層","57.26","8.43","--",0,12.7,730
