"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","華廈","苗栗縣頭份鎮仁愛里12鄰銀河路1~30號","19.8","1房/1廳/1衛","6 /共7層","11.03","1.95","--",0,9.1,100
"10402(實價)","華廈","苗栗縣頭份鎮仁愛里11鄰和平路1~30號","21.3","1房/1廳/1衛","1 /共10層","27.16","2.22","--",0,14.4,390
"10402(實價)","套房","苗栗縣頭份鎮仁愛里4鄰銀河路31~60號","16.2","1房/1廳/1衛","10 /共10層","24.18","2.53","--",0,9.9,240
"10402(實價)","住宅大樓","苗栗縣頭份鎮民族里15鄰中華路953巷1~30號","19.9","2房/1廳/1衛","12 /共13層","22.67","3.22","--",0,12,271
"10402(實價)","住宅大樓","苗栗縣頭份鎮民族里14鄰中華路953巷1~30號","19.9","2房/1廳/1衛","8 /共13層","26.55","3.78","--",0,13.6,360
"10402(實價)","公寓","苗栗縣頭份鎮東庄里13鄰雙十街91~120號","21.3","3房/1廳/2衛","5 /共6層","26.84","6.69","--",0,8.2,220
"10401(實價)","公寓","苗栗縣頭份鎮民族里5鄰自強路281巷1~30號","32.9","3房/1廳/1衛","4 /共4層","30.2","10.11","--",0,6,180
"10401(實價)","透天厝","苗栗縣頭份鎮和平里9鄰中華路850巷1~30號","10.1","7房/0廳/5衛","1 /共4層","73.19","38.12","--",0,12.6,922
"10401(實價)","透天厝","苗栗縣頭份鎮自強里8鄰中華路961~990號","41.8","4房/1廳/2衛","1 /共3層","119.69","46.89","--",0,31.7,3800
"10401(實價)","華廈","苗栗縣頭份鎮仁愛里12鄰銀河路1~30號","19.6","0房/0廳/0衛","5 /共7層","11.47","2.06","--",0,12,138
"10312(實價)","透天厝","苗栗縣頭份鎮東庄里3鄰忠孝一路102巷1~30號","25.1","7房/2廳/6衛","1 /共2層","58.51","6.96","--",0,7.7,450
"10312(實價)","住宅大樓","苗栗縣頭份鎮中華路901~930號","21","3房/2廳/2衛","4 /共11層","31.74","3.13","--",0,11.3,360
"10312(實價)","住宅大樓","苗栗縣頭份鎮中華路901~930號","21","4房/2廳/2衛","5 /共10層","35.71","3.63","--",0,10.6,380
"10312(實價)","住宅大樓","苗栗縣頭份鎮中華路901~930號","21","3房/2廳/2衛","11 /共11層","31.74","3.13","--",0,11,350
"10312(實價)","套房","苗栗縣頭份鎮仁愛里4鄰銀河路31~60號","16","1房/0廳/1衛","9 /共10層","12.56","1.55","--",0,11.1,140
"10312(實價)","透天厝","苗栗縣頭份鎮仁愛里2鄰中山路151~180號","38.7","5房/2廳/4衛","1 /共4層","110.18","39.93","--",0,12.5,1380
"10312(實價)","透天厝","苗栗縣頭份鎮東庄里14鄰仁愛路141巷1~30號","33.9","4房/2廳/2衛","1 /共2層","25.57","21.48","--",0,19.6,500
"10311(實價)","透天厝","苗栗縣頭份鎮信義里2鄰信義路53巷1~30號","37.9","3房/2廳/2衛","1 /共3層","37.2","16.34","--",0,8.3,310
"10311(實價)","華廈","苗栗縣頭份鎮仁愛里4鄰仁愛路1~30號","15.9","3房/1廳/2衛","1 /共10層","47.12","6.08","--",0,14.4,680
"10311(實價)","公寓","苗栗縣頭份鎮仁愛里11鄰和平路1~30號","33.6","3房/2廳/1衛","3 /共5層","33.15","8.54","--",0,6.3,210
"10311(實價)","華廈","苗栗縣頭份鎮頭份鎮仁愛里11鄰銀河路91~120號","21.1","2房/1廳/2衛","5 /共10層","24.29","2.18","--",0,10.7,260
"10311(實價)","套房","苗栗縣頭份鎮仁愛里4鄰仁愛路1~30號","15.9","1房/0廳/1衛","4 /共10層","12","1.44","--",0,8.2,99
"10311(實價)","透天厝","苗栗縣頭份鎮東庄里4鄰仁愛路151~180號","25.2","4房/2廳/2衛","1 /共2層","62","44.17","--",0,21.8,1350
"10310(實價)","住宅大樓","苗栗縣頭份鎮頭份鎮仁愛里11鄰銀河路91~120號","21","3房/2廳/2衛","2 /共10層","27.35","2.8","--",0,11.9,325
"10310(實價)","華廈","苗栗縣頭份鎮仁愛里13鄰銀河北路1~30號","17.3","3房/1廳/2衛","1 /共8層","32.98","4.51","--",0,13,430
"10310(實價)","華廈(含車位)","苗栗縣頭份鎮民族里6鄰錦華街61~90號","3.8","3房/1廳/1衛","2 /共5層","24.45","6.05","--",0,16.3,398
"10310(實價)","透天厝","苗栗縣頭份鎮自強里5鄰中華路991~1020號","49.6","4房/2廳/2衛","1 /共2層","57.46","46.28","--",0,30.1,1730
"10310(實價)","透天厝","苗栗縣頭份鎮仁愛里2鄰信東路31~60號","24.9","0房/4廳/4衛","1 /共5層","118.71","27.83","--",0,12.1,1440
