"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10402(實價)","住宅大樓(含車位)","台北市內湖區民權東路六段451~480號","6.4","4房/2廳/2衛","6 /共14層","72.82","13.34","7.05",0,82.4,6000
"10402(實價)","華廈(含車位)","台北市內湖區金湖路401巷1~30號","15.2","3房/2廳/2衛","4 /共9層","46.56","8.59","--",0,53.7,2500
"10401(實價)","住宅大樓","台北市內湖區民權東路六段271~300號","28.2","3房/2廳/2衛","3 /共12層","23.47","2.43","--",0,48,1127
"10401(實價)","華廈(含車位)","台北市內湖區民權東路六段280巷1~30號","8.5","3房/1廳/1衛","1 /共9層","13.71","3.2","--",0,96.3,1320
"10401(實價)","住宅大樓(含車位)","台北市內湖區成功路五段450巷31~60號","17.7","4房/2廳/2衛","9 /共13層","54.92","11.4","10.9",0,61.9,3400
"10401(實價)","公寓","台北市內湖區金湖路363巷25弄1~30號","6.8","1房/1廳/1衛","2 /共5層","25.59","10.88","--",0,80.1,2050
"10401(實價)","住宅大樓(含車位)","台北市內湖區民權東路六段421~450號","6.3","4房/2廳/3衛","11 /共14層","102.95","18.46","14.1",0,87.4,9000
"10401(實價)","住宅大樓(含車位)","台北市內湖區金湖路301~330號","12.9","0房/0廳/1衛","1 /共12層","45.31","9.35","12.39",0,66.2,3000
"10401(實價)","住宅大樓","台北市內湖區民權東路六段296巷1~30號","18.6","2房/1廳/1衛","6 /共16層","27.09","6.07","--",0,64.6,1750
"10312(實價)","住宅大樓(含車位)","台北市內湖區康寧路三段1~30號","7.1","3房/2廳/2衛","11 /共15層","71.44","11.95","23.88",0,39.2,2800
"10312(實價)","華廈","台北市內湖區民權東路六段280巷1~30號","17.3","2房/1廳/2衛","-1 /共9層","12.32","3.3","--",0,48.7,600
"10312(實價)","住宅大樓(含車位)","台北市內湖區民權東路六段451~480號","6.3","4房/2廳/2衛","3 /共14層","71.91","13.38","7.05",0,79.9,5742
"10312(實價)","住宅大樓(含車位)","台北市內湖區民權東路六段421~450號","6.3","3房/2廳/3衛","2 /共14層","102.05","18.12","14.1",0,77.9,7950
"10312(實價)","住宅大樓","台北市內湖區民權東路六段280巷31~60號","5.9","3房/2廳/2衛","10 /共12層","84.04","11.92","--",0,8,676
"10312(實價)","住宅大樓(含車位)","台北市內湖區民權東路六段296巷1~30號","18.5","2房/1廳/1衛","12 /共16層","40.1","6.16","12.96",0,49.3,1975
"10312(實價)","住宅大樓(含車位)","台北市內湖區成功路五段450巷23弄1~30號","6.3","4房/2廳/3衛","4 /共17層","73.87","17.97","8.94",0,90.2,6659
"10312(實價)","套房","台北市內湖區民權東路六段280巷1~30號","17.3","1房/1廳/1衛","-1 /共9層","9.94","2.6","--",0,45.8,455
"10312(實價)","住宅大樓(含車位)","台北市內湖區成功路五段450巷1~30號","13.9","4房/2廳/2衛","12 /共14層","74.22","14.57","9.36",0,73.4,5450
"10312(實價)","華廈(含車位)","台北市內湖區金湖路326巷31~60號","14.4","1房/1廳/1衛","2 /共6層","17.06","4.15","--",0,56.9,970
"10312(實價)","住宅大樓(含車位)","台北市內湖區金湖路301~330號","12.8","4房/2廳/2衛","6 /共12層","78.45","12.12","--",0,14,1100
"10312(實價)","住宅大樓(含車位)","台北市內湖區金湖路401巷1~30號","15.3","2房/2廳/2衛","4 /共14層","49.2","9.55","--",0,61,3000
"10311(實價)","透天厝","台北市內湖區康寧樂三段1~30號","24.3","2房/1廳/2衛","1 /共2層","19.79","49.21","--",0,323.4,6400
"10311(實價)","套房","台北市內湖區金湖路361~390號","15.6","1房/0廳/1衛","6 /共10層","9.01","2.29","--",0,76.1,686
"10311(實價)","華廈(含車位)","台北市內湖區民權東路六段423巷9弄1~30號","0.4","1房/1廳/1衛","2 /共5層","16.96","5.42","3.93",0,81.4,1380
"10311(實價)","套房","台北市內湖區金湖路361~390號","15.6","1房/1廳/1衛","9 /共10層","14.65","3.73","--",0,71.7,1050
"10311(實價)","住宅大樓(含車位)","台北市內湖區康寧路三段1~30號","7","3房/2廳/2衛","14 /共15層","47.75","9.54","11.99",0,63.3,3020
"10311(實價)","住宅大樓(含車位)","台北市內湖區成功路五段450巷23弄1~30號","6.3","2房/2廳/1衛","5 /共17層","78.78","18.55","10.3",0,71.8,5658
"10311(實價)","華廈","台北市內湖區金湖路331~360號","15.3","1房/1廳/1衛","6 /共10層","18.21","4.26","--",0,72.9,1328
"10311(實價)","華廈(含車位)","台北市內湖區民權東路六段423巷9弄1~30號","0.4","1房/1廳/1衛","3 /共5層","16.59","6.48","3.79",0,80.8,1340
"10311(實價)","華廈(含車位)","台北市內湖區民權東路六段280巷1~30號","8.3","1房/2廳/2衛","3 /共9層","14.41","3.37","--",0,85.1,1226
"10311(實價)","住宅大樓(含車位)","台北市內湖區成功路五段420巷1~30號","17.5","3房/2廳/2衛","6 /共11層","43.58","10.1","9.11",0,61.5,2680
"10310(實價)","套房(含車位)","台北市內湖區成功路五段61~90號","6.3","1房/1廳/1衛","2 /共12層","28.26","3.35","7.16",0,54.8,1550
"10310(實價)","住宅大樓","台北市內湖區民權東路六段391~420號","9.1","3房/2廳/2衛","11 /共12層","32.46","6.54","--",0,75,2433
