"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","透天厝","屏東縣潮州鎮忠誠路1~30號","52.3","2房/1廳/2衛","1 /共2層","46.71","26.98","--",0,6,278
"10403(實價)","透天厝","屏東縣潮州鎮民榮街1~30號","20.5","6房/1廳/3衛","1 /共5層","95.14","26.82","--",0,8.4,800
"10402(實價)","透天厝","屏東縣潮州鎮育英路31~60號","33.3","5房/2廳/5衛","1 /共4層","55.68","31.73","--",0,7.9,438
"10401(實價)","透天厝","屏東縣潮州鎮忠孝路1~30號","37.3","4房/2廳/5衛","1 /共3層","72.12","32.52","--",0,2.5,180
"10401(實價)","透天厝","屏東縣潮州鎮南進路31~60號","37.9","3房/1廳/3衛","1 /共3層","29.55","14.17","--",0,11.8,350
"10401(實價)","透天厝","屏東縣潮州鎮昌明路39巷1~30號","26.5","2房/2廳/2衛","1 /共2層","14.91","10.59","--",0,4.7,70
"10401(實價)","透天厝","屏東縣潮州鎮文化路31~60號","39.4","3房/2廳/2衛","1 /共2層","57.13","45.8","--",0,21.4,1225
"10312(實價)","透天厝","屏東縣潮州鎮文化路31~60號","39.3","5房/2廳/3衛","1 /共2層","34.39","27.98","--",0,16.9,580
"10311(實價)","透天厝","屏東縣潮州鎮文化路1~30號","36.9","6房/2廳/3衛","1 /共4層","66.11","25.22","--",0,10.2,675
"10311(實價)","透天厝","屏東縣潮州鎮太平路24巷1~30號","45.4","1房/1廳/2衛","1 /共2層","11.49","6.23","--",0,2.2,25
"10311(實價)","透天厝","屏東縣潮州鎮太平路24巷1~30號","45.5","1房/1廳/2衛","1 /共2層","11.49","6.2","--",0,2.2,25
"10311(實價)","透天厝","屏東縣潮州鎮南進路31~60號","29.8","4房/2廳/2衛","1 /共4層","87.21","32.07","--",0,11.5,1000
"10311(實價)","透天厝","屏東縣潮州鎮太平路24巷1~30號","27.4","1房/1廳/1衛","1 /共2層","9.8","7.44","--",0,1.5,15
"10311(實價)","透天厝","屏東縣潮州鎮光澤巷31~60號","44.8","3房/1廳/2衛","1 /共2層","33.28","25.45","--",0,9.8,325
"10311(實價)","透天厝","屏東縣潮州鎮公園二巷1~30號","34.4","4房/3廳/3衛","1 /共3層","32.15","20.87","--",0,6.7,215
"10310(實價)","透天厝","屏東縣潮州鎮太平路24巷1~30號","45.4","1房/1廳/1衛","1 /共2層","10.59","6.28","--",0,2.8,30
"10310(實價)","透天厝","屏東縣潮州鎮育英路99巷1~30號","26.3","3房/2廳/3衛","1 /共2層","24.51","14.36","--",0,9.4,230
