"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","公寓","新北市板橋區仁愛路49巷1~30號","30.1","1房/1廳/1衛","5 /共5層","13.99","4.04","--",0,37.2,520
"10402(實價)","套房","新北市板橋區國慶路1~30號","19.2","1房/1廳/1衛","3 /共14層","18.4","2.78","--",0,33.2,610
"10401(實價)","華廈","新北市板橋區縣民大道一段64巷31~60號","18.9","2房/2廳/2衛","7 /共7層","34.91","6.49","--",0,35.2,1230
"10401(實價)","住宅大樓(含車位)","新北市板橋區南雅南路二段91~120號","3.6","3房/2廳/2衛","11 /共14層","54.57","5.85","11.18",180,59.9,2780
"10312(實價)","住宅大樓(含車位)","新北市板橋區南雅南路二段121~150號","3.5","3房/2廳/2衛","4 /共13層","48.45","5.21","11.18",0,44.4,2150
"10312(實價)","公寓","新北市板橋區國慶路149巷13弄1~30號","33.7","3房/2廳/2衛","1 /共5層","24.81","6.36","--",0,40.3,1000
"10312(實價)","住宅大樓(含車位)","新北市板橋區南雅南路二段121~150號","3.5","3房/2廳/2衛","6 /共13層","48.64","5.21","11.18",0,47.5,2310
"10312(實價)","住宅大樓","新北市板橋區南雅南路二段1~30號","17.3","3房/2廳/1衛","8 /共19層","31.88","4.63","--",0,51,1625
"10312(實價)","住宅大樓","新北市板橋區信義路31~60號","20.2","3房/2廳/2衛","7 /共12層","33.18","3.85","--",0,35.8,1188
"10312(實價)","公寓","新北市板橋區四川路一段339巷1~30號","33","2房/1廳/1衛","4 /共5層","23.54","7.93","--",0,28,660
"10312(實價)","華廈","新北市板橋區貴興路61~90號","18.8","2房/2廳/1衛","7 /共7層","24.21","4.37","--",0,45.4,1098
"10312(實價)","公寓","新北市板橋區四川路一段286巷1弄1~30號","44.4","3房/2廳/1衛","4 /共4層","28.44","12.02","--",0,37.6,1068
"10312(實價)","公寓","新北市板橋區國慶路149巷43弄1~30號","31.2","4房/2廳/2衛","1 /共5層","33.75","10.48","--",0,40.7,1375
"10312(實價)","公寓","新北市板橋區忠孝路48巷4弄61~90號","31","3房/2廳/1衛","2 /共5層","24.2","8.95","--",0,36.2,875
"10311(實價)","套房","新北市板橋區四川路二段1~30號","15.3","1房/1廳/1衛","3 /共12層","14.7","2","--",0,40.1,590
"10311(實價)","華廈","新北市板橋區信義路31~60號","18.9","0房/0廳/0衛","-1 /共6層","44.09","6.96","--",0,6.4,280
"10311(實價)","住宅大樓","新北市板橋區南雅南路二段121~150號","3.4","2房/1廳/1衛","12 /共13層","24.19","3.44","--",0,64.9,1570
"10310(實價)","住宅大樓","新北市板橋區南雅南路二段121~150號","3.3","3房/1廳/1衛","13 /共13層","24.19","3.44","--",0,64.5,1560
"10310(實價)","住宅大樓","新北市板橋區國慶路1~30號","18.8","3房/1廳/1衛","5 /共13層","35.47","5.1","--",0,5.9,210
"10310(實價)","住宅大樓","新北市板橋區信義路26巷1~30號","7.9","5房/3廳/3衛","13 /共13層","63","9.6","--",0,42.5,2680
"10310(實價)","住宅大樓","新北市板橋區南雅南路二段121~150號","3.3","2房/2廳/1衛","2 /共13層","29.34","4.08","--",0,61.4,1800
