"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","住宅大樓","新竹縣竹北市莊敬六街1~30號","9.3","1房/0廳/1衛","4 /共15層","12.78","1.34","--",0,18,230
"10402(實價)","套房(含車位)","新竹縣竹北市莊敬六街1~30號","9.3","1房/1廳/1衛","3 /共15層","20.76","1.34","9.9",0,14.7,305
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市莊敬六街1~30號","9.3","3房/2廳/2衛","8 /共15層","57.81","4.35","19.8",0,16.4,948
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市光明六路東一段271~300號","7.8","4房/2廳/3衛","13 /共23層","85.84","7.11","--",0,21,1800
"10402(實價)","透天厝","新竹縣竹北市嘉興路349巷1~30號","0.3","5房/3廳/4衛","1 /共4層","75.43","22.73","--",0,24.8,1868
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市莊敬六街1~30號","9.3","4房/2廳/2衛","6 /共15層","54.24","4.85","9.9",0,16.4,890
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市勝利一路91~120號","9.3","3房/2廳/2衛","9 /共15層","41.86","3.84","6.91",0,18.9,790
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市嘉興路338巷1~30號","1","3房/2廳/2衛","8 /共12層","60.61","8.12","21.76",220,21.4,1050
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市勝利一路91~120號","10.8","4房/2廳/2衛","18 /共21層","56.38","5.09","--",0,20.4,1150
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市莊敬五街31~60號","8.8","4房/2廳/2衛","8 /共15層","57.22","5.2","--",0,18,1030
"10402(實價)","透天厝","新竹縣竹北市自強六街69巷1~30號","11.4","4房/2廳/4衛","1 /共5層","82.1","25.81","--",0,21.9,1800
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市勝利一路91~120號","9.3","5房/2廳/2衛","13 /共15層","55.77","5.35","6.91",0,17.8,990
"10402(實價)","住宅大樓(含車位)","新竹縣竹北市嘉興路338巷1~30號","1","3房/2廳/2衛","4 /共12層","60.35","8.02","21.76",200,19.4,948
"10401(實價)","公寓(含車位)","新竹縣竹北市嘉祥一街31~60號","10.3","4房/2廳/3衛","4 /共5層","40.63","13.56","--",0,20.9,850
"10401(實價)","華廈(含車位)","新竹縣竹北市嘉興路277巷31~60號","18.4","3房/2廳/2衛","7 /共8層","28.81","4.14","--",0,20.8,600
"10401(實價)","套房(含車位)","新竹縣竹北市自強南路59巷1~30號","10.6","1房/1廳/1衛","4 /共14層","25.01","3.3","--",0,17,425
"10401(實價)","套房","新竹縣竹北市嘉豐一街1~30號","6.2","1房/1廳/1衛","5 /共7層","11.6","3.1","--",0,28.5,330
"10401(實價)","住宅大樓(含車位)","新竹縣竹北市嘉興路338巷1~30號","0.9","3房/2廳/2衛","8 /共12層","60.35","8.02","21.76",220,20.3,1002
"10401(實價)","華廈(含車位)","新竹縣竹北市自強七街1~30號","11.1","3房/2廳/2衛","3 /共10層","50.1","11.71","--",0,18.7,938
"10401(實價)","套房(含車位)","新竹縣竹北市自強南路59巷1~30號","10.6","1房/1廳/1衛","11 /共14層","19.42","2.89","--",0,16,310
"10401(實價)","透天厝","新竹縣竹北市嘉豐三街36巷1~30號","9.1","6房/2廳/4衛","1 /共4層","122.25","35.22","--",0,19.5,2389
"10401(實價)","套房","新竹縣竹北市嘉興路181~210號","6","1房/1廳/1衛","2 /共7層","9.15","1.5","--",0,33.3,305
"10401(實價)","透天厝","新竹縣竹北市嘉興路349巷1~30號","0.3","5房/2廳/4衛","1 /共5層","67.16","22.91","--",0,27.5,1850
"10401(實價)","住宅大樓(含車位)","新竹縣竹北市莊敬三路61~90號","10.5","3房/2廳/2衛","10 /共13層","49.35","5.81","--",0,19.4,955
"10401(實價)","住宅大樓(含車位)","新竹縣竹北市莊敬五街31~60號","9.3","3房/2廳/2衛","8 /共14層","56.27","5.12","--",0,17.4,980
"10401(實價)","住宅大樓(含車位)","新竹縣竹北市莊敬五街31~60號","9.3","4房/2廳/2衛","3 /共14層","56.27","5.12","--",0,16.9,952
"10401(實價)","住宅大樓(含車位)","新竹縣竹北市光明六路東一段271~300號","7.7","3房/2廳/3衛","9 /共23層","85.84","7.11","--",0,21,1800
"10401(實價)","透天厝","新竹縣竹北市褔興東路二段91~120號","11","5房/2廳/3衛","1 /共5層","71.04","23.13","--",0,33.5,2380
"10401(實價)","住宅大樓(含車位)","新竹縣竹北市勝利一路91~120號","10.7","2房/2廳/2衛","9 /共21層","46.43","4.04","--",0,19.2,890
"10312(實價)","住宅大樓","新竹縣竹北市成功一街91~120號","9.3","2房/1廳/2衛","3 /共12層","47.47","4.61","--",0,16.4,780
"10312(實價)","住宅大樓(含車位)","新竹縣竹北市十興里莊敬三路31~60號","10.4","4房/2廳/3衛","12 /共13層","71.65","8.04","--",0,18.8,1350
"10312(實價)","華廈(含車位)","新竹縣竹北市東興路一段61~90號","19.3","3房/2廳/1衛","5 /共7層","27.71","5.95","--",0,19.8,550
"10312(實價)","住宅大樓(含車位)","新竹縣竹北市莊敬三路61~90號","10.4","2房/2廳/2衛","13 /共13層","45.29","5.34","--",0,21,950
"10312(實價)","住宅大樓(含車位)","新竹縣竹北市成功一街61~90號","9.3","3房/2廳/2衛","2 /共12層","41.88","4.06","--",0,19.2,804
"10312(實價)","住宅大樓(含車位)","新竹縣竹北市成功一街61~90號","9.3","3房/2廳/2衛","3 /共12層","41.59","3.97","4.94",0,17.7,735
"10312(實價)","住宅大樓(含車位)","新竹縣竹北市莊敬三路61~90號","10.4","3房/2廳/2衛","11 /共13層","40.73","4.56","--",0,19.9,810
"10312(實價)","華廈(含車位)","新竹縣竹北市嘉興路277巷1~30號","18.3","4房/2廳/2衛","7 /共8層","33.25","5.22","--",0,16.8,558
"10312(實價)","套房","新竹縣竹北市莊敬六街1~30號","9.1","0房/0廳/0衛","6 /共15層","12.81","1.34","--",0,19.9,255
"10312(實價)","住宅大樓(含車位)","新竹縣竹北市嘉興路338巷1~30號","0.8","3房/2廳/2衛","12 /共12層","60.35","8.02","21.76",190,19.8,955
"10312(實價)","華廈(含車位)","新竹縣竹北市自強六街1~30號","9.4","3房/2廳/2衛","8 /共10層","36.95","3.83","--",0,22.2,820
"10312(實價)","住宅大樓(含車位)","新竹縣竹北市嘉豐二街一段1~30號","5","4房/2廳/2衛","7 /共13層","75.5","11.65","15.64",0,21,1585
"10312(實價)","住宅大樓(含車位)","新竹縣竹北市自強北路61~90號","9.2","3房/2廳/2衛","11 /共13層","63.29","10.08","--",0,18.7,1183
"10312(實價)","住宅大樓(含車位)","新竹縣竹北市福興東路一段370巷1~30號","2.4","3房/2廳/1衛","10 /共13層","54.11","10.63","--",0,20,1080
"10312(實價)","公寓(含車位)","新竹縣竹北市嘉祥一街33巷1~30號","10.2","3房/1廳/3衛","2 /共5層","38.42","13.56","--",0,20,770
"10312(實價)","華廈(含車位)","新竹縣竹北市自強七街1~30號","11","2房/2廳/1衛","6 /共10層","33.89","6.75","--",0,21.2,720
