"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","華廈","台北市中山區松江路46巷1~30號","33.3","3房/2廳/2衛","1 /共6層","74.62","8.8","--",0,53.8,4015
"10403(實價)","華廈","台北市中山區長安東路二段61~90號","21.7","1房/1廳/1衛","7 /共10層","10.15","1.17","--",0,67,680
"10402(實價)","套房","台北市中山區松江路91~120號","32.6","1房/1廳/1衛","10 /共12層","14.15","1.24","--",0,75,1062
"10402(實價)","住宅大樓(含車位)","台北市中山區吉林路1~30號","0.8","0房/0廳/3衛","8 /共15層","178.31","19.51","70.03",1925,104.8,13268
"10402(實價)","套房","台北市中山區長安東路二段61~90號","33.7","1房/1廳/1衛","8 /共12層","11.97","1.26","--",0,69.3,830
"10402(實價)","套房","台北市中山區松江路31~60號","36.5","0房/1廳/1衛","11 /共12層","12.52","0.91","--",0,76.7,960
"10402(實價)","華廈(含車位)","台北市中山區伊通街1~30號","39.3","3房/2廳/2衛","2 /共7層","52.74","8.06","13.93",0,67.5,3560
"10401(實價)","住宅大樓(含車位)","台北市中山區南京東路二段181~210號","4.7","4房/2廳/3衛","15 /共15層","95.19","8.21","--",0,115.6,11002
"10401(實價)","住宅大樓","台北市中山區南京東路二段91~120號","4.3","1房/0廳/1衛","5 /共18層","14.53","0.94","--",0,94.2,1368
"10401(實價)","公寓","台北市中山區松江路46巷1~30號","44.2","3房/1廳/1衛","2 /共4層","18.01","6.2","--",0,77.3,1392
"10401(實價)","住宅大樓","台北市中山區中央里四平街121~150號","31.6","3房/2廳/2衛","12 /共14層","32.59","5.95","--",0,74.6,2430
"10401(實價)","住宅大樓","台北市中山區松江路1~30號","31.4","3房/2廳/2衛","12 /共12層","35.36","3.07","--",0,71.8,2540
"10401(實價)","公寓(含車位)","台北市中山區松江路37巷1~30號","9","1房/1廳/1衛","2 /共5層","19.48","4.03","5.17",0,61.7,1202
"10401(實價)","住宅大樓(含車位)","台北市中山區吉林路1~30號","3.1","3房/2廳/2衛","8 /共14層","77.59","10.43","21.63",0,57.6,4467
"10401(實價)","套房","台北市中山區吉林路26巷1~30號","24.3","1房/1廳/1衛","3 /共5層","15.14","3.27","--",0,52.8,800
"10401(實價)","住宅大樓(含車位)","台北市中山區吉林路1~30號","4.3","4房/2廳/2衛","0 /共14層","95.73","10.14","22.54",0,66.9,6400
"10312(實價)","公寓","台北市中山區松江路46巷1~30號","45","1房/1廳/1衛","1 /共4層","15.67","6.2","--",0,98.9,1550
"10312(實價)","住宅大樓","台北市中山區長安東路二段61~90號","33.8","1房/1廳/1衛","7 /共11層","12.96","1.36","--",0,66.4,860
"10312(實價)","住宅大樓(含車位)","台北市中山區興亞里吉林路1~30號","3","3房/2廳/1衛","14 /共14層","86.68","12.12","21.63",0,76.1,6600
"10312(實價)","華廈","台北市中山區一江街1~30號","37.1","0房/0廳/0衛","-1 /共7層","66.78","12.9","--",0,26.2,1750
"10312(實價)","住宅大樓(含車位)","台北市中山區吉林路1~30號","2.5","5房/2廳/4衛","9 /共14層","140.54","16.91","38.08",0,90.9,12781
"10312(實價)","住宅大樓","台北市中山區四平街121~150號","31.5","3房/2廳/2衛","6 /共14層","32.52","5.97","--",0,30.7,1000
"10312(實價)","華廈","台北市中山區四平街1~30號","42.5","0房/0廳/0衛","-1 /共7層","110.4","9.07","--",0,54.3,6000
"10312(實價)","華廈","台北市中山區四平街1~30號","42.7","0房/0廳/0衛","7 /共7層","42.82","9.03","--",0,84.1,3600
"10312(實價)","套房","台北市中山區吉林路26巷1~30號","24.3","0房/0廳/1衛","2 /共5層","12.3","3.11","--",0,48.8,600
"10312(實價)","住宅大樓(含車位)","台北市中山區吉林路1~30號","4.3","4房/2廳/2衛","14 /共14層","95.61","10.19","22.54",0,77.8,7442
"10312(實價)","住宅大樓(含車位)","台北市中山區吉林路1~30號","4.3","4房/2廳/2衛","14 /共14層","71.76","8.19","11.27",0,83.6,5996
"10312(實價)","住宅大樓(含車位)","台北市中山區南京東路二段91~120號","4.3","1房/1廳/1衛","12 /共18層","20.94","1.04","5.83",0,83.6,1750
"10312(實價)","住宅大樓(含車位)","台北市中山區南京東路二段91~120號","4.3","0房/0廳/0衛","5 /共18層","20.69","1","5.83",0,78.3,1620
"10312(實價)","套房","台北市中山區建國北路一段121~150號","4.8","2房/1廳/2衛","7 /共13層","9.82","1.28","--",0,93.5,918
"10312(實價)","透天厝","台北市中山區松江路46巷1~30號","","4房/2廳/2衛","1 /共2層","39.92","49.91","--",0,108,4310
"10312(實價)","套房","台北市中山區長安東路二段91~120號","6.8","1房/1廳/1衛","10 /共13層","10.48","1.29","--",0,75.2,788
"10312(實價)","華廈(含車位)","台北市中山區吉林路14巷1~30號","0.7","0房/0廳/0衛","0 /共7層","36.98","6.27","4.85",220,116.1,3950
"10311(實價)","住宅大樓","台北市中山區南京東路二段91~120號","4.2","1房/1廳/1衛","15 /共18層","15.55","1.02","--",0,115.7,1800
"10311(實價)","住宅大樓(含車位)","台北市中山區長安東路二段91~120號","2.9","3房/2廳/2衛","3 /共15層","52.2","4.44","6.58",0,88.5,4618
"10311(實價)","套房","台北市中山區四平街91~120號","13.3","1房/0廳/1衛","6 /共10層","13.93","2.97","--",0,81.7,1139
"10311(實價)","住宅大樓","台北市中山區松江路77巷1~30號","9.9","1房/1廳/1衛","7 /共11層","7.85","1.41","--",0,122.2,960
"10311(實價)","透天厝","台北市中山區松江路151~180號","","4房/3廳/3衛","1 /共2層","58.65","34.79","--",0,474.5,27830
"10311(實價)","住宅大樓","台北市中山區松江路121~150號","41.9","0房/0廳/0衛","7 /共11層","10","1.11","--",0,66,660
"10311(實價)","住宅大樓","台北市中山區松江路121~150號","41.9","0房/0廳/0衛","7 /共11層","10.01","1.11","--",0,66,660
"10311(實價)","住宅大樓","台北市中山區松江路121~150號","41.9","0房/0廳/0衛","7 /共11層","10","1.11","--",0,66,660
"10311(實價)","套房(含車位)","台北市中山區長安東路二段91~120號","6.8","1房/1廳/1衛","6 /共13層","18.42","1.96","4.8",0,67.9,1250
"10311(實價)","華廈","台北市中山區伊通街19巷1~30號","14.3","2房/2廳/2衛","6 /共6層","34.41","8.99","--",0,86.6,2980
"10311(實價)","華廈","台北市中山區伊通街106巷1~30號","31.4","3房/2廳/2衛","3 /共6層","41.92","8.85","--",0,21,879
"10311(實價)","套房","台北市中山區南京東路二段91~120號","4.2","1房/1廳/1衛","14 /共18層","16.79","1.1","--",0,107.2,1800
"10311(實價)","套房","台北市中山區南京東路二段91~120號","4.2","1房/1廳/1衛","12 /共18層","14.36","0.94","--",0,108.7,1560
"10311(實價)","套房","台北市中山區南京東路二段91~120號","4.2","1房/0廳/1衛","11 /共18層","14.4","0.94","--",0,79.3,1142
"10311(實價)","套房","台北市中山區長安東路二段91~120號","6.8","1房/1廳/1衛","4 /共13層","12.65","1.54","--",0,80.2,1015
"10311(實價)","華廈(含車位)","台北市中山區吉林路14巷1~30號","0.6","0房/0廳/0衛","3 /共7層","37","6.28","4.85",220,118.1,4018
"10311(實價)","套房","台北市中山區松江路77巷1~30號","9.9","1房/1廳/1衛","10 /共11層","12.61","1.78","--",0,127.5,1608
"10311(實價)","華廈(含車位)","台北市中山區吉林路14巷1~30號","0.6","0房/0廳/0衛","5 /共7層","34.98","5.4","4.85",220,119.9,3834
"10311(實價)","住宅大樓(含車位)","台北市中山區吉林路1~30號","2.4","4房/2廳/3衛","13 /共14層","179.9","20.23","60.91",0,90.2,16236
"10311(實價)","住宅大樓(含車位)","台北市中山區吉林路1~30號","2.9","4房/2廳/2衛","14 /共14層","77.59","10.43","--",0,74.8,5800
"10311(實價)","套房","台北市中山區松江路1~30號","27.3","1房/1廳/1衛","7 /共12層","11.49","1","--",0,74.9,860
"10311(實價)","華廈","台北市中山區松江路124巷1~30號","18.8","3房/2廳/2衛","2 /共6層","48.44","14.63","--",0,66.1,3200
"10311(實價)","套房","台北市中山區南京東路二段91~120號","4.2","0房/1廳/1衛","14 /共18層","13.72","0.9","--",0,111.5,1530
"10311(實價)","套房","台北市中山區長安東路二段91~120號","6.8","1房/1廳/1衛","11 /共13層","12.65","1.54","--",0,86.9,1100
"10310(實價)","公寓","台北市中山區松江路132巷1~30號","42.5","3房/2廳/2衛","2 /共4層","33.34","13.76","--",0,69.6,2320
"10310(實價)","住宅大樓(含車位)","台北市中山區伊通街1~30號","1.4","3房/2廳/2衛","2 /共13層","58.81","7.84","15",0,72.1,4238
"10310(實價)","套房","台北市中山區南京東路二段24巷1~30號","9.8","0房/1廳/1衛","4 /共8層","12.79","1.95","--",0,102.4,1310
"10310(實價)","透天厝","台北市中山區伊通街99巷1~30號","","3房/1廳/2衛","1 /共2層","11.83","8.27","--",0,67.6,800
"10310(實價)","華廈(含車位)","台北市中山區吉林路14巷1~30號","0.5","0房/0廳/0衛","3 /共7層","34.97","5.4","4.85",220,117,3744
"10310(實價)","華廈","台北市中山區新生北路一段31~60號","35","3房/2廳/2衛","2 /共7層","46.46","8.62","--",0,50.6,2350
"10310(實價)","華廈","台北市中山區松江路150巷1~30號","8.8","2房/1廳/1衛","4 /共6層","20.95","5.51","--",0,89.8,1880
"10310(實價)","住宅大樓","台北市中山區長春路181~210號","20.7","1房/1廳/1衛","11 /共11層","13.88","1.47","--",0,80.7,1120
"10310(實價)","套房(含車位)","台北市中山區松江路77巷1~30號","9.8","2房/1廳/1衛","6 /共11層","22.33","1.89","9.72",0,71.4,1595
"10310(實價)","住宅大樓(含車位)","台北市中山區吉林路1~30號","0.4","0房/0廳/3衛","11 /共15層","164.31","19.45","56.07",1450,125.2,15000
"10310(實價)","公寓","台北市中山區松江路64巷1~30號","","1房/1廳/1衛","2 /共3層","21.78","9","--",0,62,1350
"10310(實價)","套房","台北市中山區南京東路二段91~120號","4.1","1房/1廳/1衛","5 /共18層","15.36","1","--",0,104.2,1600
"10310(實價)","套房","台北市中山區松江路25巷1~30號","5.9","0房/0廳/0衛","3 /共11層","9.29","1.75","--",0,94.8,880
"10310(實價)","華廈","台北市中山區松江路108巷1~30號","37.5","4房/2廳/2衛","1 /共6層","117.09","26.36","--",0,40.1,4700
"10310(實價)","公寓","台北市中山區松江路150巷1~30號","","3房/2廳/2衛","2 /共3層","23.46","8.87","--",0,64.8,1520
"10310(實價)","住宅大樓","台北市中山區南京東路二段91~120號","4.1","1房/1廳/1衛","7 /共18層","14.57","0.96","--",0,102.9,1500
"10310(實價)","住宅大樓","台北市中山區松江路25巷1~30號","5.9","2房/1廳/1衛","2 /共11層","21.1","4","--",0,111.8,2360
"10310(實價)","華廈(含車位)","台北市中山區伊通街1~30號","0.3","3房/2廳/2衛","6 /共9層","81.81","11.87","25.68",0,46.6,3814
"10310(實價)","套房(含車位)","台北市中山區南京東路二段91~120號","4.1","0房/1廳/1衛","7 /共18層","26.76","1.08","11.65",0,66.1,1768
