"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10401(實價)","公寓","新北市汐止區中興路1~30號","","3房/2廳/1衛","4 /共5層","28.27","6.78","--",0,25.8,730
"10312(實價)","透天厝","新北市汐止區大同路一段219巷1~30號","31.4","1房/1廳/1衛","1 /共1層","10.21","17.15","--",0,66.1,675
"10311(實價)","套房","新北市汐止區大同路一段211~240號","5.7","0房/0廳/1衛","11 /共13層","18.21","2.34","--",0,37.2,677
"10310(實價)","公寓","新北市汐止區大同路一段337巷15弄1~30號","29.2","3房/2廳/1衛","3 /共5層","29.81","7.85","--",0,28.5,850
