"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10401(實價)","透天厝","台南市仁德區忠義路199巷31弄1~30號","6.7","4房/2廳/3衛","1 /共4層","60.08","32.24","--",0,16.1,968
"10401(實價)","透天厝","台南市仁德區正義三街286巷31~60號","9.5","5房/2廳/4衛","1 /共4層","59.74","29.38","--",0,13.3,797
"10311(實價)","透天厝","台南市仁德區一甲里忠義路199巷31~60號","6.5","4房/2廳/3衛","1 /共4層","65.99","39.94","--",0,15.9,1050
"10311(實價)","透天厝(含車位)","台南市仁德區仁義里仁義三街198巷1~30號","32.3","4房/2廳/2衛","1 /共2層","29.01","34.83","--",0,12.4,360
"10311(實價)","透天厝","台南市仁德區仁義里義林十二街151~180號","0.8","6房/2廳/6衛","1 /共4層","111.07","52.31","--",0,18.7,2075
"10311(實價)","透天厝","台南市仁德區仁義里義林十一街61~90號","15.7","4房/2廳/2衛","1 /共4層","72.03","25.42","--",0,10.3,740
