"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10311(實價)","透天厝","台中市龍井區龍新路215巷31~60號","23.5","4房/2廳/3衛","1 /共3層","58.49","27.23","--",0,7.9,460
"10311(實價)","透天厝","台中市龍井區龍新路141巷1~30號","20","6房/3廳/4衛","1 /共4層","73.88","26.96","--",0,8.1,600
"10311(實價)","華廈","台中市龍井區龍新路216巷83弄1~30號","21.4","4房/2廳/3衛","1 /共7層","51.19","10.48","--",0,6.6,340
"10310(實價)","華廈","台中市龍井區龍新路216巷83弄1~30號","21.3","2房/2廳/2衛","3 /共7層","35.24","7.18","--",0,6.8,239
