"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","套房","雲林縣斗六市西平路61~90號","20.5","1房/1廳/1衛","11 /共14層","14.67","1.3","--",0,6.8,100
"10403(實價)","透天厝","雲林縣斗六市西平路241~270號","10.8","5房/2廳/4衛","1 /共5層","95.62","30.55","--",0,18.8,1800
"10402(實價)","透天厝","雲林縣斗六市西平路308巷1~30號","1.4","4房/2廳/2衛","1 /共4層","81.57","44.77","--",0,15.4,1260
"10402(實價)","透天厝","雲林縣斗六市宏福路55巷1~30號","9.9","5房/2廳/3衛","1 /共3層","78.78","31.14","--",0,10.2,800
"10402(實價)","住宅大樓(含車位)","雲林縣斗六市西平路181~210號","17.8","4房/1廳/2衛","12 /共16層","48.12","4.74","--",0,6.8,325
"10401(實價)","華廈","雲林縣斗六市仁愛里中華路91~120號","19.1","3房/2廳/2衛","6 /共10層","25.18","2.67","--",0,9.9,250
"10401(實價)","住宅大樓","雲林縣斗六市光興里西平路61~90號","20.3","1房/1廳/1衛","8 /共14層","14.67","1.3","--",0,6.8,100
"10401(實價)","透天厝","雲林縣斗六市北平路63巷1~30號","40.6","3房/2廳/2衛","1 /共2層","27.42","24.2","--",0,7.3,200
"10401(實價)","華廈(含車位)","雲林縣斗六市慶生路31~60號","18.5","3房/2廳/2衛","5 /共9層","40.34","3.93","12.07",0,10.4,420
"10401(實價)","住宅大樓","雲林縣斗六市西平路181~210號","17.7","3房/1廳/2衛","16 /共16層","30.62","3.02","--",0,8.2,250
"10312(實價)","透天厝","雲林縣斗六市昆明路1~30號","0.3","5房/2廳/4衛","1 /共4層","88.99","46.89","--",0,19.1,1700
"10312(實價)","透天厝","雲林縣斗六市南京路45巷1~30號","0.3","5房/2廳/4衛","1 /共4層","76.88","38.12","--",0,17.6,1355
"10312(實價)","華廈","雲林縣斗六市長春路61~90號","20.3","3房/2廳/2衛","1 /共8層","33.29","4.62","--",0,7.5,250
"10312(實價)","住宅大樓(含車位)","雲林縣斗六市西平路181~210號","17.6","3房/1廳/2衛","3 /共16層","47.24","4.65","--",0,5.7,270
"10312(實價)","住宅大樓","雲林縣斗六市西平路181~210號","17.6","3房/1廳/2衛","10 /共16層","30.22","2.98","--",0,8.3,250
"10312(實價)","透天厝","雲林縣斗六市西平路252巷1~30號","","4房/2廳/3衛","1 /共2層","39.74","30.25","--",0,16.4,650
"10312(實價)","套房","雲林縣斗六市太平里城頂街31~60號","19","1房/1廳/1衛","3 /共7層","15.64","2.77","--",0,7.4,116
"10312(實價)","透天厝","雲林縣斗六市昆明路1~30號","0.3","5房/2廳/4衛","1 /共4層","89.03","47.49","--",0,19.7,1750
"10312(實價)","華廈","雲林縣斗六市漢口路181~210號","19.6","1房/0廳/1衛","5 /共7層","9.28","1.73","--",0,9.7,90
"10312(實價)","華廈(含車位)","雲林縣斗六市太平里城頂街31~60號","22.6","3房/2廳/2衛","5 /共10層","39.53","5.02","--",0,7.8,310
"10312(實價)","透天厝","雲林縣斗六市三平里西平路241~270號","10.5","6房/3廳/5衛","1 /共5層","95.62","30.55","--",0,12.5,1200
"10312(實價)","透天厝","雲林縣斗六市北平路32巷1~30號","0.2","5房/2廳/4衛","1 /共4層","89.84","59.29","--",0,23.2,2080
"10312(實價)","透天厝","雲林縣斗六市西平路271~300號","22.7","5房/1廳/3衛","1 /共3層","75.09","39.33","--",0,12.7,950
"10311(實價)","透天厝","雲林縣斗六市西平路252巷1~30號","33.9","2房/2廳/3衛","1 /共3層","52.24","28.74","--",0,9.3,485
"10311(實價)","透天厝","雲林縣斗六市北平路55巷31~60號","35.3","4房/2廳/3衛","1 /共3層","45.01","24.73","--",0,12.1,545
"10311(實價)","透天厝","雲林縣斗六市明德北路二段361~390號","18.3","4房/2廳/5衛","1 /共5層","67.81","22.63","--",0,11.8,800
"10311(實價)","透天厝","雲林縣斗六市北平路55巷91~120號","36.6","3房/1廳/2衛","1 /共2層","29.95","35.69","--",0,9,270
"10311(實價)","透天厝","雲林縣斗六市西平路252巷31~60號","35.8","4房/2廳/2衛","1 /共2層","37.79","23.9","--",0,11.4,430
"10311(實價)","住宅大樓","雲林縣斗六市三平里洛陽路9巷1~30號","17.7","2房/1廳/2衛","9 /共13層","31.93","4.06","--",0,8.6,275
"10310(實價)","套房","雲林縣斗六市西平路61~90號","20.1","1房/1廳/1衛","12 /共14層","14.67","1.3","--",0,5.1,75
"10310(實價)","透天厝","雲林縣斗六市愛國街72巷1~30號","43.6","2房/1廳/1衛","1 /共1層","15.11","18.45","--",0,8.6,130
"10310(實價)","華廈","雲林縣斗六市南京路361~390號","20.7","1房/1廳/1衛","5 /共7層","10.41","1.94","--",0,5.8,60
"10310(實價)","透天厝","雲林縣斗六市上海路61~90號","34.8","5房/2廳/2衛","1 /共2層","36.12","26.62","--",0,23,830
"10310(實價)","透天厝","雲林縣斗六市大同路121巷1~30號","20.3","8房/5廳/9衛","1 /共5層","110.44","34.49","--",0,10.9,1200
