"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10402(實價)","透天厝","台中市大里區長榮里益民路二段89巷31~60號","29.8","4房/2廳/3衛","1 /共2層","29.77","27.83","--",0,37.9,1128
"10402(實價)","華廈","台中市大里區長榮里新生西路116巷1~30號","23.9","4房/2廳/3衛","1 /共7層","48.9","8.59","--",0,13.3,650
"10402(實價)","透天厝","台中市大里區益民路一段481~510號","35.4","4房/2廳/3衛","1 /共3層","58.06","27.95","--",0,31,1800
"10402(實價)","住宅大樓","台中市大里區中新里現岱路1~30號","4.9","3房/2廳/2衛","13 /共14層","38.31","3.67","--",0,22.2,850
"10402(實價)","住宅大樓","台中市大里區中興路二段151~180號","20.4","4房/2廳/4衛","1 /共13層","52.44","14.17","--",0,27.7,1450
"10402(實價)","住宅大樓(含車位)","台中市大里區新芳路31~60號","15.7","3房/2廳/2衛","6 /共13層","38.44","4.19","5.82",0,17.1,658
"10401(實價)","透天厝","台中市大里區新生西路181巷25弄1~30號","10","4房/3廳/3衛","1 /共4層","62.13","22.77","--",0,23.4,1455
"10401(實價)","住宅大樓","台中市大里區德芳南路306巷1~30號","10.6","2房/1廳/1衛","11 /共14層","24.41","2.43","--",0,18.6,455
"10401(實價)","公寓","台中市大里區中興路二段346巷1~30號","33.1","3房/2廳/2衛","4 /共5層","29.89","8.8","--",0,8.9,266
"10401(實價)","公寓","台中市大里區新南路59巷1~30號","34.2","3房/2廳/1衛","3 /共4層","24.36","9.14","--",0,11.3,275
"10401(實價)","華廈(含車位)","台中市大里區新生路171巷18弄1~30號","19.1","3房/2廳/2衛","6 /共9層","29.95","5.27","--",0,13,390
"10401(實價)","住宅大樓(含車位)","台中市大里區德芳南路271~300號","4.3","2房/1廳/1衛","13 /共19層","39.26","3.5","--",0,18.5,725
"10401(實價)","套房","台中市大里區新南路121~150號","23.7","1房/1廳/1衛","5 /共7層","12.34","2.08","--",0,10.4,128
"10401(實價)","住宅大樓","台中市大里區現岱路151~180號","20.6","3房/2廳/2衛","6 /共11層","36.35","6.67","--",0,12.4,450
"10401(實價)","住宅大樓(含車位)","台中市大里區德芳南路306巷1~30號","10.6","3房/2廳/2衛","3 /共14層","43.95","4.66","--",0,17.3,760
"10401(實價)","透天厝","台中市大里區新生路151~180號","3.8","4房/3廳/4衛","1 /共4層","74.12","22.69","--",0,22.4,1658
"10401(實價)","透天厝","台中市大里區益民路二段21巷1~30號","2.8","6房/2廳/9衛","1 /共4層","87.23","30.43","--",0,26.4,2300
"10401(實價)","住宅大樓(含車位)","台中市大里區德芳南路306巷1~30號","10.6","3房/2廳/2衛","12 /共14層","43.82","4.66","6.59",0,17.8,780
"10312(實價)","住宅大樓(含車位)","台中市大里區德芳南路271~300號","4.3","3房/2廳/2衛","6 /共19層","50.12","4.41","--",0,17.4,870
"10312(實價)","住宅大樓","台中市大里區現岱路1~30號","4.8","2房/2廳/1衛","5 /共14層","28.12","2.71","--",0,16.4,460
"10312(實價)","住宅大樓","台中市大里區德芳南路306巷1~30號","10.5","2房/2廳/1衛","12 /共14層","24.41","2.43","--",0,16.5,402
"10312(實價)","住宅大樓(含車位)","台中市大里區德芳南路271~300號","4.3","3房/2廳/2衛","3 /共19層","50.91","4.47","7.91",0,17.6,895
"10312(實價)","住宅大樓(含車位)","台中市大里區新芳路31~60號","15.5","3房/2廳/2衛","5 /共13層","24.09","4.19","3.69",0,23.7,570
"10312(實價)","透天厝","台中市大里區現岱路167巷28弄1~30號","4.7","3房/2廳/4衛","1 /共4層","33.43","19.76","--",0,28.4,950
"10312(實價)","住宅大樓(含車位)","台中市大里區現岱路1~30號","4.8","4房/1廳/2衛","4 /共14層","46.29","4.2","--",0,16.2,750
"10312(實價)","住宅大樓(含車位)","台中市大里區新芳路31~60號","15.5","4房/2廳/2衛","7 /共13層","46.15","5.18","5.82",0,16.5,760
"10312(實價)","透天厝","台中市大里區現岱路84巷62弄1~30號","20.6","4房/2廳/3衛","1 /共3層","65.49","43.48","--",0,18.8,1230
"10312(實價)","透天厝","台中市大里區現岱路16巷6弄1~30號","9.6","5房/1廳/3衛","1 /共4層","62.14","21.31","--",0,19,1180
"10312(實價)","透天厝","台中市大里區新生路140巷1~30號","11.2","6房/2廳/3衛","1 /共4層","61.78","22.39","--",0,17.6,1088
"10311(實價)","住宅大樓(含車位)","台中市大里區德芳南路271~300號","4.2","3房/2廳/2衛","19 /共19層","50.78","4.47","--",0,22.2,1128
"10311(實價)","住宅大樓(含車位)","台中市大里區新芳路31~60號","15.4","3房/2廳/2衛","2 /共13層","37.96","4.14","5.82",0,17.3,658
"10311(實價)","透天厝","台中市大里區二段184巷13弄1~30號","38.5","3房/2廳/2衛","1 /共2層","38.08","36","--",0,19.2,730
"10311(實價)","住宅大樓(含車位)","台中市大里區中興路二段151~180號","20.2","3房/2廳/2衛","9 /共13層","35.54","4.2","--",0,11.8,420
"10311(實價)","透天厝","台中市大里區現岱路158巷56弄1~30號","19.3","4房/3廳/3衛","1 /共4層","52.6","22.3","--",0,18.1,950
"10311(實價)","住宅大樓(含車位)","台中市大里區德芳南路271~300號","4.2","3房/2廳/2衛","17 /共19層","52.69","4.63","--",0,21,1108
"10311(實價)","住宅大樓(含車位)","台中市大里區現岱路158巷1~30號","20.4","3房/2廳/2衛","8 /共11層","50.95","8.7","--",0,13.1,668
"10311(實價)","透天厝","台中市大里區德芳南一街52巷1~30號","11.8","5房/2廳/4衛","1 /共5層","81.01","37.02","--",0,25.7,2080
"10311(實價)","華廈(含車位)","台中市大里區新南路151~180號","23.5","2房/2廳/2衛","1 /共7層","51.75","8.75","--",0,15.1,780
"10311(實價)","華廈(含車位)","台中市大里區新生路171巷1~30號","24.1","4房/2廳/2衛","3 /共6層","55.17","8.34","--",0,8.7,480
"10311(實價)","住宅大樓(含車位)","台中市大里區現岱路1~30號","4.7","3房/2廳/2衛","10 /共14層","45.05","3.63","9.8",0,15.9,718
"10311(實價)","透天厝","台中市大里區德芳南路152巷61~90號","38.5","3房/2廳/1衛","1 /共2層","29.98","26.92","--",0,11,329
"10311(實價)","華廈","台中市大里區新南路121~150號","23.5","2房/1廳/1衛","3 /共7層","18.37","3.11","--",0,10.6,195
"10311(實價)","公寓","台中市大里區益民路一段190巷1~30號","34.9","3房/2廳/1衛","5 /共5層","22.08","8.72","--",0,10.8,238
"10311(實價)","公寓","台中市大里區新生路126巷1~30號","35.7","3房/2廳/1衛","3 /共4層","20.25","7.64","--",0,16.7,338
"10311(實價)","住宅大樓","台中市大里區現岱路61~90號","23.8","2房/2廳/1衛","3 /共12層","26.09","4.24","--",0,9.1,238
"10310(實價)","公寓","台中市大里區現岱路1~30號","35.2","3房/1廳/1衛","1 /共4層","22.4","12.78","--",0,12.3,275
"10310(實價)","公寓","台中市大里區新孝街1~30號","34.8","3房/1廳/2衛","2 /共5層","27.55","10.02","--",0,4.8,132
"10310(實價)","透天厝(含車位)","台中市大里區現岱路167巷28弄1~30號","4.5","3房/2廳/4衛","1 /共4層","44.69","19.45","--",0,24.6,1100
"10310(實價)","華廈(含車位)","台中市大里區益民路二段57巷61~90號","23.6","3房/2廳/2衛","1 /共6層","31.86","6.07","--",0,14,446
"10310(實價)","華廈(含車位)","台中市大里區益民路二段57巷61~90號","23.6","3房/2廳/2衛","1 /共6層","31.92","5.67","--",0,12.4,395
"10310(實價)","透天厝","台中市大里區新生西路91~120號","0.3","8房/2廳/7衛","1 /共5層","168.01","68.01","--",0,28,4700
"10310(實價)","透天厝","台中市大里區現岱路84巷1~30號","20.4","4房/2廳/3衛","1 /共3層","47.67","27.68","--",0,9.4,450
"10310(實價)","華廈","台中市大里區新生路171巷18弄1~30號","18.8","3房/2廳/2衛","2 /共9層","27.95","5.12","--",0,15.4,430
"10310(實價)","華廈","台中市大里區新生路171巷18弄1~30號","18.8","3房/2廳/2衛","3 /共9層","26.67","4.9","--",0,9.9,265
"10310(實價)","住宅大樓(含車位)","台中市大里區中興路二段151~180號","20.1","3房/2廳/2衛","11 /共13層","136.29","4.1","--",0,3.7,500
"10310(實價)","公寓","台中市大里區益民路一段190巷1~30號","31.1","3房/2廳/1衛","4 /共5層","24.41","6.57","--",0,10.2,250
"10310(實價)","透天厝","台中市大里區新生路171巷1~30號","3.2","6房/2廳/4衛","1 /共4層","61.42","27.95","--",0,22.5,1380
"10310(實價)","公寓","台中市大里區益民路二段1~30號","33.8","3房/2廳/1衛","2 /共5層","22.23","8.12","--",0,12.1,270
"10310(實價)","住宅大樓(含車位)","台中市大里區長榮里德芳南路271~300號","4.1","3房/2廳/2衛","13 /共19層","28.56","4.47","--",0,33.3,950
"10310(實價)","套房","台中市大里區新南路121~150號","23.4","1房/1廳/1衛","7 /共7層","17.68","2.99","--",0,10.5,185
"10310(實價)","套房","台中市大里區新南路121~150號","23.4","1房/1廳/1衛","5 /共7層","10.06","1.7","--",0,12.7,128
"10310(實價)","公寓","台中市大里區新生路140巷1~30號","35.6","6房/2廳/2衛","4 /共4層","20.25","7.26","--",0,10.9,220
