"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","華廈","台南市中西區永福路二段91~120號","32.3","1房/0廳/1衛","9 /共10層","13.02","2.13","--",0,7.7,100
"10403(實價)","套房","台南市中西區西門路二段307巷1~30號","22.9","1房/0廳/1衛","6 /共7層","7.03","1.03","--",0,9.2,65
"10403(實價)","透天厝","台南市中西區友愛街241~270號","32.9","4房/2廳/2衛","1 /共5層","66.13","16.15","--",0,10.6,700
"10403(實價)","套房","台南市中西區府前一街151~180號","26.2","1房/0廳/1衛","4 /共5層","10.56","2.78","--",0,6.6,70
"10402(實價)","華廈(含車位)","台南市中西區民權路三段400巷1~30號","15.6","3房/2廳/2衛","3 /共10層","45.12","6.65","--",0,12.3,553
"10402(實價)","華廈(含車位)","台南市中西區民權路三段400巷1~30號","15.6","3房/2廳/2衛","9 /共10層","45.85","6.78","--",0,12.1,555
"10402(實價)","華廈(含車位)","台南市中西區民權路三段400巷1~30號","15.6","3房/2廳/2衛","3 /共10層","49.22","7.44","8.02",0,13,638
"10402(實價)","套房","台南市中西區正興街151~180號","20.8","1房/0廳/1衛","7 /共9層","8.13","0.86","--",0,9,73
"10402(實價)","透天厝","台南市中西區西寧街1~30號","50.1","3房/2廳/3衛","1 /共1層","15.17","15.43","--",0,36.3,550
"10402(實價)","華廈(含車位)","台南市中西區民權路三段400巷1~30號","15.6","3房/2廳/2衛","9 /共10層","48.27","7.41","--",0,12.2,590
"10402(實價)","公寓","台南市中西區府前一街151~180號","26.1","1房/1廳/1衛","4 /共5層","18.19","5.12","--",0,6,110
"10401(實價)","套房","台南市中西區康樂街91~120號","32.3","1房/1廳/1衛","7 /共10層","13.02","1.53","--",0,5.4,70
"10401(實價)","華廈","台南市中西區府前二街61~90號","24","0房/0廳/0衛","3 /共6層","6.71","1.19","--",0,10.4,70
"10401(實價)","華廈","台南市中西區環河街61~90號","23.9","1房/0廳/1衛","8 /共9層","8.26","1.04","--",0,7.3,60
"10401(實價)","華廈","台南市安平區府前三街121~150號","19","1房/0廳/1衛","5 /共7層","9.51","1.8","--",0,11,105
"10401(實價)","公寓","台南市中西區民生路一段157巷1~30號","28.9","3房/1廳/1衛","1 /共5層","23.97","5.68","--",0,3.5,83
"10401(實價)","透天厝","台南市中西區永福路二段197巷1~30號","42.7","3房/2廳/2衛","1 /共3層","43.53","20.12","--",0,6.7,292
"10401(實價)","套房","台南市中西區府前二街61~90號","24","1房/1廳/1衛","5 /共6層","9.71","1.72","--",0,9.5,92
"10401(實價)","透天厝","台南市中西區臨安路一段91~120號","43.3","6房/3廳/4衛","1 /共3層","97.76","73.21","--",0,30.7,3000
"10401(實價)","住宅大樓","台南市中西區康樂街151~180號","25.3","1房/0廳/1衛","7 /共12層","11.37","1.24","--",0,4.1,47
"10401(實價)","華廈(含車位)","台南市中西區府前一街109巷1~30號","15.2","4房/2廳/2衛","3 /共8層","52.83","8.2","--",0,12.7,670
"10312(實價)","透天厝","台南市中西區臨安路一段91~120號","43","4房/2廳/3衛","1 /共2層","48.33","29.95","--",0,22.8,1100
"10312(實價)","華廈","台南市安平區府前二街61~90號","23.9","1房/1廳/1衛","4 /共6層","8.69","1.54","--",0,15,130
"10312(實價)","套房","台南市中西區臨安路一段61~90號","24.3","0房/0廳/1衛","6 /共7層","9.34","1.62","--",0,7.5,70
"10312(實價)","套房","台南市中西區正興街1~30號","23.4","1房/1廳/1衛","5 /共7層","7.63","1.14","--",0,11.7,89
"10312(實價)","華廈(含車位)","台南市中西區民權路三段400巷1~30號","15.4","3房/2廳/2衛","8 /共10層","43.9","6.41","--",0,13.7,600
"10312(實價)","住宅大樓","台南市中西區康樂街151~180號","25.2","2房/1廳/1衛","4 /共12層","22.54","2.68","--",0,8.4,190
"10312(實價)","華廈","台南市中西區和真街31~60號","33","3房/2廳/2衛","5 /共7層","28.5","6.33","--",0,9.1,260
"10312(實價)","套房","台南市中西區康樂街151~180號","25.2","1房/1廳/1衛","10 /共12層","15.84","1.75","--",0,9.2,145
"10312(實價)","住宅大樓(含車位)","台南市中西區西和路91~120號","15.8","3房/2廳/2衛","11 /共14層","43.62","4.43","--",0,13,565
"10312(實價)","透天厝","台南市中西區府前一街9巷12弄1~30號","25","6房/2廳/6衛","1 /共4層","78.1","30.25","--",0,7.6,590
