"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","套房","屏東縣屏東市北平路1~30號","20.1","1房/1廳/1衛","3 /共7層","13.97","2.25","--",0,7.5,105
"10402(實價)","住宅大樓","屏東縣屏東市自由路61~90號","20.3","1房/0廳/1衛","4 /共13層","10.38","0.98","--",0,7.2,75
"10401(實價)","透天厝","屏東縣屏東市建華一街91~120號","20.7","8房/3廳/5衛","1 /共5層","81.13","21.48","--",0,9.7,790
"10401(實價)","公寓","屏東縣屏東市信義路58巷1~30號","20.1","1房/0廳/1衛","3 /共5層","5.37","2.51","--",0,10.2,55
"10401(實價)","透天厝","屏東縣屏東市信義路1~30號","28.3","0房/0廳/0衛","1 /共2層","57.96","20.27","--",0,3.6,209
"10312(實價)","住宅大樓","屏東縣屏東市公勇路61~90號","20.6","3房/2廳/2衛","5 /共14層","33.93","4.59","--",0,6.2,210
"10312(實價)","住宅大樓","屏東縣屏東市自由路61~90號","20.1","1房/0廳/1衛","11 /共13層","11.1","1.04","--",0,3.6,40
"10312(實價)","住宅大樓(含車位)","屏東縣屏東市信義路58巷1~30號","20","9房/0廳/9衛","2 /共5層","53.01","18.72","--",0,10.2,540
"10312(實價)","套房","屏東縣屏東市北平路1~30號","19.8","1房/1廳/1衛","7 /共7層","13.59","2.18","--",0,7,95
"10310(實價)","住宅大樓","屏東縣屏東市自由路61~90號","19.9","0房/0廳/0衛","8 /共13層","10.22","0.96","--",0,6.8,70
"10310(實價)","公寓","屏東縣屏東市公園路61~90號","","3房/2廳/2衛","2 /共4層","38.57","15.27","--",0,7.3,280
"10310(實價)","住宅大樓(含車位)","屏東縣屏東市公勇路61~90號","20.4","3房/2廳/2衛","9 /共14層","35.23","5.12","--",0,7.5,265
