"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10402(實價)","公寓","新北市土城區中央路三段281巷15弄1~30號","30.6","3房/2廳/2衛","1 /共5層","30.2","9.05","--",0,31.8,960
"10402(實價)","住宅大樓","新北市土城區中央路三段281巷11弄1~30號","17.5","2房/1廳/1衛","3 /共12層","21.98","3.12","--",0,29.8,655
"10401(實價)","住宅大樓","新北市土城區中央路三段281巷1~30號","17.4","3房/2廳/2衛","11 /共12層","29.83","4.24","--",0,28.1,838
"10401(實價)","套房","新北市土城區中央路三段281巷11弄1~30號","17.4","1房/1廳/1衛","12 /共12層","12.8","1.81","--",0,31.3,400
"10312(實價)","公寓","新北市土城區中央路三段281巷23弄1~30號","33.1","3房/2廳/2衛","2 /共5層","33.21","9.8","--",0,27.1,900
"10311(實價)","住宅大樓(含車位)","新北市土城區中央路三段239巷1~30號","16.6","4房/1廳/2衛","10 /共16層","70.32","6.37","30.88",0,19.2,1350
"10311(實價)","住宅大樓(含車位)","新北市土城區中央路三段239巷1~30號","16.6","3房/2廳/2衛","13 /共16層","47.12","5.93","7.69",0,21.2,1000
"10311(實價)","住宅大樓","新北市土城區中央路三段281巷1~30號","17.3","2房/1廳/1衛","7 /共12層","23.8","3.38","--",0,29.4,700
"10311(實價)","住宅大樓","新北市土城區中央路三段239巷1~30號","16.6","4房/2廳/2衛","11 /共16層","39.44","5.48","--",0,32.3,1275
"10310(實價)","住宅大樓(含車位)","新北市土城區中央路三段239巷1~30號","16.5","3房/1廳/2衛","13 /共16層","40.27","4.67","7.69",0,24.8,1000
"10310(實價)","透天厝","新北市土城區永平街1~30號","36.9","0房/0廳/1衛","1 /共2層","24.97","23.24","--",0,36,900
"10310(實價)","透天厝","新北市土城區中央路三段244巷1~30號","","1房/3廳/3衛","1 /共2層","35.82","24.38","--",0,38.2,1370
