"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","透天厝","新竹縣湖口鄉榮光一路343巷1~30號","0.3","13房/0廳/0衛","1 /共5層","101.66","27.11","--",0,17.5,1780
"10402(實價)","透天厝","新竹縣新豐鄉松柏林121~150號","","4房/2廳/3衛","1 /共2層","32.67","18.49","--",0,9.2,300
"10401(實價)","華廈","新竹縣新豐鄉松柏林1~30號","21.6","3房/2廳/2衛","1 /共5層","29.44","9.93","--",0,9.5,280
"10401(實價)","透天厝","新竹縣新豐鄉松柏林31~60號","","3房/2廳/2衛","1 /共2層","32.61","17.85","--",0,11.7,380
"10401(實價)","透天厝","新竹縣湖口鄉榮光一路341巷1~30號","0.2","14房/0廳/0衛","1 /共5層","112.77","43.94","--",0,18.3,2062
"10401(實價)","透天厝","新竹縣湖口鄉榮光一路341巷1~30號","0.2","14房/0廳/0衛","1 /共5層","112.77","43.94","--",0,17.7,2000
"10401(實價)","透天厝","新竹縣湖口鄉三民二路1~30號","0.5","4房/2廳/3衛","1 /共3層","54.38","24.88","--",0,18.4,1000
"10401(實價)","透天厝","新竹縣新豐鄉松林街29巷1~30號","7.3","5房/2廳/3衛","1 /共4層","60.57","18.92","--",0,16.5,1000
"10312(實價)","透天厝","新竹縣湖口鄉榮光一路361~390號","0.4","8房/1廳/8衛","1 /共5層","70.51","22.24","--",0,14.2,1000
"10312(實價)","透天厝","新竹縣湖口鄉榮光一路366巷1~30號","0.4","4房/4廳/2衛","1 /共4層","54.02","28.76","--",0,17.7,955
"10312(實價)","透天厝","新竹縣湖口鄉榮光一路361~390號","0.4","8房/1廳/8衛","1 /共5層","72.33","22.54","--",0,13.8,1000
"10312(實價)","華廈","新竹縣新豐鄉松林村松林街51巷1~30號","5.3","3房/2廳/2衛","4 /共7層","47.26","12.11","--",0,14.8,700
"10312(實價)","公寓","新竹縣新豐鄉松柏林31~60號","22","3房/2廳/2衛","1 /共5層","26.13","9.1","--",0,9.6,250
"10312(實價)","透天厝","新竹縣新豐鄉潤泰街7巷31~60號","10.5","4房/2廳/3衛","1 /共4層","53.69","19.36","--",0,17.1,920
"10311(實價)","華廈","新竹縣新豐鄉康泰路241~270號","10","3房/2廳/1衛","3 /共10層","26.77","3.42","--",0,13.4,360
"10310(實價)","透天厝","新竹縣湖口鄉榮光路691~720號","34.8","10房/0廳/10衛","1 /共2層","50.03","31.04","--",0,16.4,820
"10310(實價)","透天厝","新竹縣新豐鄉文林街1~30號","5.8","7房/0廳/8衛","1 /共4層","66.47","19.57","--",0,19.5,1299
"10310(實價)","透天厝(含車位)","新竹縣新豐鄉松林街31~60號","5.2","10房/1廳/10衛","1 /共4層","89.27","22.77","--",0,19,1700
"10310(實價)","透天厝","新竹縣新豐鄉松林街91~120號","1.3","5房/2廳/5衛","1 /共4層","81.02","20.26","--",0,22.6,1830
