"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","透天厝","新北市樹林區長壽街19巷1~30號","","0房/0廳/0衛","1 /共2層","24.68","20.57","--",0,48.6,1200
"10403(實價)","住宅大樓","新北市樹林區中山路一段211~240號","17.8","3房/2廳/2衛","11 /共12層","34.74","3.55","--",0,28.2,980
"10402(實價)","住宅大樓","新北市樹林區中山路一段91~120號","16.9","3房/2廳/2衛","7 /共12層","30.61","3.01","--",0,32.8,1003
"10401(實價)","公寓","新北市板橋區溪崑二街112巷35弄1~30號","","3房/2廳/1衛","4 /共5層","27.75","8.86","--",0,27,750
"10401(實價)","華廈","新北市板橋區溪崑二街61~90號","","3房/2廳/2衛","1 /共7層","36.34","8.06","--",0,31.4,1140
"10312(實價)","公寓","新北市板橋區滿平二街2巷1弄31~60號","","3房/1廳/2衛","1 /共5層","28.06","7.31","--",0,41,1150
"10312(實價)","公寓","新北市樹林區日新街91~120號","34.4","3房/2廳/2衛","5 /共5層","30.42","6.47","--",0,23,700
"10312(實價)","公寓","新北市樹林區啟智街61~90號","38.9","2房/2廳/1衛","2 /共4層","22.88","8.17","--",0,28.2,646
"10312(實價)","公寓","新北市樹林區育英街135巷1~30號","21.6","3房/2廳/1衛","2 /共5層","33.49","9.89","--",0,23.6,790
"10312(實價)","透天厝","新北市樹林區長壽街70巷31弄1~30號","","3房/2廳/1衛","1 /共2層","20.57","17.24","--",0,36.5,750
"10312(實價)","公寓","新北市樹林區日新街151~180號","39.3","2房/2廳/1衛","3 /共4層","19.24","7.71","--",0,25.8,497
"10312(實價)","公寓","新北市樹林區保安街一段31~60號","","4房/1廳/1衛","3 /共4層","23.28","6.96","--",0,25.3,590
"10312(實價)","華廈","新北市樹林區博愛街31~60號","","3房/1廳/2衛","2 /共8層","37.2","4.38","--",0,28.2,1050
"10311(實價)","透天厝","新北市板橋區滿平街1~30號","","5房/2廳/2衛","1 /共1層","21.69","41.75","--",0,50.2,1089
"10311(實價)","華廈","新北市板橋區溪崑二街132巷1~30號","16","3房/2廳/2衛","7 /共9層","33.1","4.56","--",0,34.7,1150
"10311(實價)","華廈","新北市樹林區博愛街31~60號","19.9","3房/2廳/1衛","4 /共8層","30.29","3.72","--",0,24.6,745
"10311(實價)","住宅大樓","新北市樹林區中山路一段181~210號","18","2房/1廳/1衛","10 /共12層","21.07","2.34","--",0,30.1,635
"10311(實價)","華廈(含車位)","新北市樹林區啟智街14巷1弄1~30號","15.8","3房/2廳/2衛","5 /共5層","42.25","9.71","7.07",0,29.6,1250
"10311(實價)","公寓","新北市樹林區中興街1~30號","38.8","2房/2廳/2衛","3 /共4層","25.24","8.62","--",0,29.1,735
"10311(實價)","公寓","新北市樹林區日新街91~120號","34.3","3房/2廳/2衛","4 /共5層","29.05","6.47","--",0,27.5,800
"10311(實價)","華廈","新北市樹林區鎮前街1~30號","36.1","0房/0廳/0衛","3 /共6層","157.9","27.3","--",0,24.2,3828
"10311(實價)","華廈","新北市樹林區博愛一街1~30號","20.3","2房/2廳/2衛","5 /共8層","61.66","5.68","--",0,24.3,1500
"10311(實價)","公寓","新北市樹林區中興街50巷1~30號","33.6","3房/2廳/1衛","4 /共5層","27.49","12.89","--",0,18.2,500
"10310(實價)","公寓","新北市板橋區溪崑二街124巷1~30號","24.5","3房/2廳/3衛","1 /共5層","44.56","10.96","--",0,21.5,960
"10310(實價)","華廈","新北市板橋區溪崑二街61~90號","","3房/2廳/2衛","7 /共7層","30.84","7.24","--",0,30.2,930
"10310(實價)","公寓","新北市板橋區滿平街2巷1~30號","","5房/3廳/2衛","4 /共4層","21.93","8.34","--",0,25.3,555
"10310(實價)","公寓","新北市樹林區中興街9巷1~30號","29.8","3房/2廳/2衛","1 /共5層","37.76","10.65","--",0,42.4,1600
"10310(實價)","公寓","新北市樹林區長壽街70巷10弄1~30號","37.8","3房/2廳/1衛","4 /共4層","24.68","7.34","--",0,23.5,580
"10310(實價)","套房","新北市樹林區博愛街61~90號","18.8","1房/1廳/1衛","2 /共8層","13.91","1.72","--",0,29.5,410
