"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","公寓","新北市新莊區福壽街142巷31~60號","35.3","3房/2廳/2衛","2 /共5層","28.09","7.62","--",0,33.8,950
"10403(實價)","住宅大樓(含車位)","新北市新莊區思源路332巷1~30號","0.4","4房/2廳/2衛","7 /共18層","76.02","10.26","21.86",430,45.4,2888
"10403(實價)","住宅大樓(含車位)","新北市新莊區福美街62巷1~30號","0.3","3房/2廳/4衛","9 /共19層","116.41","12.32","17.15",420,40.4,4430
"10403(實價)","住宅大樓(含車位)","新北市新莊區中原東路151~180號","0.3","4房/2廳/2衛","11 /共19層","100.87","10.41","17.79",460,41.3,3893
"10403(實價)","住宅大樓(含車位)","新北市新莊區福美街62巷1~30號","0.3","3房/2廳/4衛","12 /共19層","116.34","12.23","17.79",440,40.1,4388
"10403(實價)","住宅大樓(含車位)","新北市新莊區福德一街31~60號","2.4","4房/2廳/2衛","4 /共17層","70.92","10.08","10.88",0,36.7,2602
"10403(實價)","住宅大樓(含車位)","新北市新莊區中原東路151~180號","0.3","4房/2廳/2衛","13 /共19層","101.39","10.47","17.79",460,42.7,4028
"10403(實價)","住宅大樓(含車位)","新北市新莊區中原東路151~180號","0.3","4房/2廳/2衛","9 /共19層","100.71","10.39","17.79",440,40.3,3780
"10403(實價)","住宅大樓(含車位)","新北市新莊區福美街62巷1~30號","0.3","3房/2廳/4衛","13 /共19層","116.02","12.19","17.79",460,43.1,4689
"10403(實價)","住宅大樓(含車位)","新北市新莊區福美街62巷1~30號","0.3","3房/2廳/4衛","11 /共19層","116.8","12.29","17.79",460,41.5,4569
"10403(實價)","住宅大樓(含車位)","新北市新莊區福美街62巷1~30號","0.3","3房/2廳/4衛","13 /共19層","117.14","12.33","17.79",420,44,4792
"10403(實價)","住宅大樓(含車位)","新北市新莊區福美街62巷1~30號","0.3","3房/2廳/4衛","5 /共19層","116.57","12.26","17.79",440,38.7,4260
"10402(實價)","公寓","新北市新莊區昌明街14巷2弄1~30號","30.8","3房/2廳/1衛","4 /共5層","26.44","6.54","--",0,28,740
"10402(實價)","住宅大樓(含車位)","新北市新莊區福前街63巷1~30號","1.9","4房/2廳/2衛","4 /共13層","59.32","9.73","10.17",205,41.6,2250
"10402(實價)","住宅大樓(含車位)","新北市新莊區福美街128巷31~60號","0.1","3房/2廳/2衛","4 /共21層","55.1","7.41","11.51",200,41.3,2002
"10402(實價)","住宅大樓(含車位)","新北市新莊區福美街128巷1~30號","0.1","3房/2廳/2衛","9 /共21層","87.47","11.01","23.02",420,40.2,3009
"10402(實價)","住宅大樓(含車位)","新北市新莊區福美街128巷1~30號","0.1","3房/2廳/2衛","7 /共21層","92.05","11.07","27.6",430,43.1,3210
"10402(實價)","住宅大樓(含車位)","新北市新莊區福美街128巷1~30號","0.1","3房/2廳/2衛","6 /共21層","75.96","10.9","11.51",200,41.9,2900
"10402(實價)","住宅大樓(含車位)","新北市新莊區福美街128巷1~30號","0.1","3房/2廳/2衛","11 /共21層","74.37","10.84","9.92",195,43.3,2988
"10402(實價)","住宅大樓(含車位)","新北市新莊區福美街128巷1~30號","0.1","3房/2廳/2衛","8 /共21層","75.96","10.9","11.51",190,42.3,2919
"10402(實價)","住宅大樓(含車位)","新北市新莊區福美街128巷1~30號","0.1","3房/2廳/2衛","5 /共21層","74.37","10.84","9.92",200,42.8,2960
"10402(實價)","住宅大樓(含車位)","新北市新莊區福美街128巷1~30號","0.1","3房/2廳/2衛","4 /共21層","75.96","10.9","11.51",210,42.5,2950
