"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","透天厝","台南市永康區中華二路181~210號","38.8","5房/2廳/3衛","1 /共1層","12.58","17.41","--",0,17.2,216
"10403(實價)","透天厝","台南市永康區勝利里勝利街107巷31~60號","39.5","3房/2廳/2衛","1 /共2層","27.62","22.28","--",0,8.8,243
"10403(實價)","透天厝","台南市北區南園街49巷61~90號","44.3","3房/2廳/2衛","1 /共2層","26.54","19.97","--",0,12.1,320
"10403(實價)","透天厝","台南市北區開南街275巷31~60號","36.3","4房/2廳/2衛","1 /共2層","26.92","20.57","--",0,7.2,195
"10402(實價)","華廈(含車位)","台南市永康區中華路58巷31~60號","8.2","3房/2廳/2衛","7 /共10層","58.88","16.05","--",0,6.8,400
"10402(實價)","住宅大樓(含車位)","台南市永康區中華路58巷61~90號","8.2","3房/2廳/2衛","4 /共14層","54.12","14.75","--",0,11.8,640
"10402(實價)","透天厝","台南市永康區中山東路328巷1~30號","0.8","5房/2廳/5衛","1 /共4層","73.4","27.53","--",0,18.4,1350
"10402(實價)","住宅大樓(含車位)","台南市永康區小東路477巷46弄1~30號","24.1","3房/2廳/2衛","4 /共14層","54.37","6.83","--",0,10.5,570
"10402(實價)","住宅大樓(含車位)","台南市永康區勝學路260巷1~30號","15.8","4房/2廳/2衛","6 /共12層","28.38","3.62","--",0,12.8,362
"10402(實價)","住宅大樓","台南市永康區忠義街60巷1~30號","19.9","1房/0廳/1衛","9 /共15層","16.51","1.88","--",0,9.1,150
"10402(實價)","透天厝","台南市永康區勝利里中華一路272巷31~60號","18.8","5房/4廳/4衛","1 /共4層","64.11","22.17","--",0,6.3,405
"10402(實價)","住宅大樓(含車位)","台南市永康區成功里中華路154巷18弄1~30號","21.9","2房/1廳/1衛","11 /共11層","30.81","6.51","--",0,13.1,405
"10402(實價)","透天厝","台南市北區南園街42巷1~30號","41.7","3房/2廳/2衛","1 /共2層","24.35","16.94","--",0,15.2,370
"10402(實價)","華廈(含車位)","台南市永康區中華路58巷61~90號","8.2","3房/2廳/2衛","5 /共10層","53.27","14.47","--",0,5.1,273
"10401(實價)","住宅大樓","台南市永康區中華路58巷31~60號","8.1","4房/2廳/2衛","8 /共10層","58.88","16.05","--",0,5.1,302
"10401(實價)","華廈(含車位)","台南市北區開元路442巷26弄1~30號","23.1","3房/2廳/2衛","5 /共8層","67.05","3.02","--",0,7.9,530
"10401(實價)","透天厝","台南市北區開南街275巷22弄1~30號","35","3房/2廳/2衛","1 /共2層","21.94","17.85","--",0,18.7,410
"10401(實價)","華廈(含車位)","台南市永康區勝利里勝利街197巷8弄1~30號","24.6","0房/0廳/0衛","-1 /共6層","6.23","1.13","--",40,6.4,40
"10401(實價)","住宅大樓","台南市永康區勝學路260巷1~30號","15.8","3房/2廳/2衛","9 /共12層","24.39","3.04","--",0,12.3,300
"10401(實價)","住宅大樓(含車位)","台南市永康區中華路58巷61~90號","8.1","3房/1廳/2衛","12 /共14層","52.97","14.44","--",0,7.6,400
"10401(實價)","華廈(含車位)","台南市永康區中華路58巷31~60號","8.1","4房/2廳/2衛","9 /共10層","59.09","16.12","--",0,11.7,690
"10401(實價)","住宅大樓","台南市永康區小東路477巷46弄1~30號","24","3房/2廳/2衛","6 /共14層","37.38","7.14","--",0,9.9,370
"10401(實價)","住宅大樓","台南市永康區忠義街31~60號","24","0房/0廳/0衛","-2 /共16層","8.62","0","--",0,9.3,80
"10401(實價)","透天厝","台南市永康區勝利里勝利街22巷45弄61~90號","28.5","4房/2廳/2衛","1 /共2層","29.81","21.89","--",0,16.1,480
"10401(實價)","住宅大樓(含車位)","台南市永康區中華路58巷61~90號","8.1","3房/2廳/2衛","8 /共12層","48.7","13.29","--",0,12.9,630
"10401(實價)","住宅大樓(含車位)","台南市永康區勝利里中華一路203巷1~30號","16.3","3房/2廳/2衛","11 /共11層","31.28","2.83","--",0,10.5,330
"10401(實價)","華廈(含車位)","台南市永康區中華路58巷31~60號","8.1","4房/2廳/2衛","2 /共10層","59.09","16.12","--",0,9,530
"10401(實價)","住宅大樓(含車位)","台南市永康區勝學路260巷1~30號","15.8","4房/2廳/2衛","5 /共12層","37.14","4.78","--",0,13.5,500
"10401(實價)","住宅大樓","台南市永康區中華路58巷31~60號","8.1","3房/2廳/2衛","5 /共14層","33.91","17.43","--",0,9.3,314
"10401(實價)","透天厝","台南市北區南園街31~60號","40.1","3房/3廳/3衛","1 /共3層","36.27","16.64","--",0,16,582
"10401(實價)","透天厝","台南市北區開元路421~450號","19.5","4房/1廳/5衛","1 /共4層","150.18","58.99","--",0,24.6,3700
