"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","住宅大樓(含車位)","新竹市新竹市武陵路1~30號","6.6","4房/2廳/3衛","25 /共26層","113.48","6.6","20.44",0,15,1700
"10403(實價)","住宅大樓(含車位)","新竹市新竹市光華東街1~30號","17.4","3房/2廳/2衛","7 /共13層","46.56","4.51","6.39",0,17.9,835
"10402(實價)","公寓","新竹市新竹市光華街62巷1~30號","34.3","3房/2廳/3衛","5 /共5層","29.94","10.74","--",0,10.7,320
"10402(實價)","住宅大樓","新竹市新竹市經國路一段811~840號","18.5","3房/2廳/2衛","4 /共12層","27.31","2.96","--",0,16.8,460
"10402(實價)","套房","新竹市新竹市經國路一段721~750號","8.6","1房/1廳/1衛","4 /共9層","10.6","1.31","--",0,22.6,240
"10402(實價)","套房","新竹市新竹市光華北街61~90號","23.1","1房/0廳/1衛","7 /共7層","6.38","1.63","--",0,14.9,95
"10401(實價)","華廈","新竹市新竹市光華南街31~60號","21.2","2房/2廳/1衛","8 /共9層","20.52","2.49","--",0,15.2,312
"10401(實價)","透天厝(含車位)","新竹市新竹市民生路260巷1弄1~30號","26.1","5房/2廳/3衛","1 /共5層","59.09","17","--",0,16.4,968
"10401(實價)","公寓","新竹市新竹市光華街53巷1~30號","32.1","3房/2廳/2衛","2 /共5層","27.68","6.68","--",0,12.9,358
"10401(實價)","住宅大樓","新竹市新竹市經國路一段511~540號","18.7","3房/2廳/2衛","7 /共20層","35.62","2.76","--",0,16.3,580
"10401(實價)","住宅大樓","新竹市新竹市民權路211~240號","20.3","1房/0廳/1衛","4 /共12層","7.9","0.69","--",0,16.2,128
"10401(實價)","住宅大樓","新竹市新竹市北大路1~30號","19","3房/2廳/1衛","13 /共14層","22.67","1.77","--",0,17.2,390
"10401(實價)","華廈(含車位)","新竹市新竹市北大路1~30號","4.4","2房/2廳/2衛","4 /共9層","30.2","3.48","9.54",0,22.3,675
"10401(實價)","華廈(含車位)","新竹市新竹市光華二街1~30號","21.2","2房/2廳/2衛","3 /共9層","33.03","4.15","--",0,14.5,480
"10401(實價)","透天厝","新竹市新竹市光華街52巷8弄1~30號","37.3","7房/3廳/4衛","1 /共2層","35.09","33.28","--",0,42.2,1480
"10401(實價)","住宅大樓(含車位)","新竹市新竹市光華東街1~30號","17.3","3房/2廳/2衛","9 /共13層","45.95","5.05","6.39",0,18.4,845
"10401(實價)","公寓","新竹市新竹市光華街27巷1~30號","","4房/2廳/2衛","1 /共5層","26.27","7.31","--",0,19,500
"10401(實價)","住宅大樓(含車位)","新竹市新竹市經國路一段811~840號","18.4","3房/2廳/2衛","5 /共12層","33.23","3.2","--",0,16.9,560
