"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","公寓","高雄市三民區陽明路505巷1~30號","29.7","3房/2廳/2衛","5 /共5層","29.05","8.29","--",0,7.7,225
"10403(實價)","華廈","高雄市三民區清華街151~180號","19.7","1房/1廳/1衛","8 /共8層","10.45","1.88","--",0,10.5,110
"10403(實價)","住宅大樓(含車位)","高雄市三民區天民路1~30號","2.6","2房/2廳/2衛","5 /共15層","48.87","4.88","5.84",0,19.6,960
"10402(實價)","透天厝","高雄市鳥松區清華街本昌巷1~30號","1.5","4房/2廳/3衛","1 /共5層","120.73","45.07","--",0,24.8,3000
"10402(實價)","華廈","高雄市三民區清華街61~90號","25.8","2房/3廳/2衛","1 /共7層","56.01","9.76","--",0,13.4,752
"10402(實價)","住宅大樓(含車位)","高雄市三民區清華街61~90號","20.8","4房/2廳/3衛","15 /共15層","56.24","7.19","--",0,11.2,630
"10402(實價)","套房","高雄市三民區天民路151~180號","18.3","1房/1廳/1衛","5 /共8層","12.21","1.81","--",0,13.1,160
"10402(實價)","住宅大樓(含車位)","高雄市三民區澄清路691~720號","3","0房/0廳/0衛","12 /共15層","53.39","8.23","--",0,19.7,1050
"10401(實價)","華廈","高雄市三民區義和路61巷31~60號","25.8","4房/2廳/2衛","2 /共7層","45.02","8.24","--",0,11.3,510
"10401(實價)","套房","高雄市三民區澄和路61~90號","19.8","0房/0廳/0衛","5 /共8層","13.05","2.18","--",0,13.4,175
"10401(實價)","住宅大樓(含車位)","高雄市三民區黃興路61~90號","0.4","3房/2廳/3衛","4 /共15層","98.28","13.93","22.98",0,21.8,2145
"10401(實價)","透天厝","高雄市鳥松區龍華南街61~90號","14.8","6房/2廳/3衛","1 /共4層","95.53","39.93","--",0,7.6,730
"10401(實價)","透天厝","高雄市鳥松區清華街本昌巷1~30號","1","5房/3廳/5衛","1 /共4層","86.31","34.79","--",0,40.3,3480
"10401(實價)","住宅大樓(含車位)","高雄市三民區黃興路61~90號","0.4","3房/2廳/3衛","9 /共15層","103.62","14.7","28.5",0,23.7,2460
"10401(實價)","住宅大樓(含車位)","高雄市三民區黃興路91~120號","23.9","4房/2廳/2衛","8 /共20層","51.61","5.94","--",0,14.9,768
"10401(實價)","住宅大樓(含車位)","高雄市三民區澄平街241~270號","21.8","4房/1廳/2衛","11 /共16層","69.36","7.13","--",0,14.7,1022
"10401(實價)","住宅大樓","高雄市三民區澄和路151~180號","24.3","6房/2廳/5衛","14 /共15層","122.21","17.78","--",0,11.7,1430
"10401(實價)","住宅大樓(含車位)","高雄市三民區義華路61~90號","20.1","3房/2廳/2衛","10 /共16層","41.16","5.44","--",0,13.2,545
"10401(實價)","透天厝","高雄市三民區陽明路471巷14弄1~30號","30.8","3房/2廳/3衛","1 /共4層","41.69","15.35","--",0,10.8,450
"10401(實價)","公寓","高雄市三民區天民路13巷1~30號","34.2","3房/2廳/2衛","2 /共5層","30.32","8.47","--",0,12.2,370
"10312(實價)","住宅大樓(含車位)","高雄市三民區陽明路451~480號","0.3","0房/0廳/2衛","1 /共15層","198.66","28.34","28.5",0,50,9940
"10312(實價)","透天厝","高雄市三民區應安街421~450號","18.4","5房/2廳/3衛","1 /共5層","65.54","20.2","--",0,17.9,1176
"10312(實價)","透天厝","高雄市三民區澄和路211~240號","10.5","5房/2廳/5衛","1 /共5層","93.42","35.09","--",0,30.8,2880
"10312(實價)","住宅大樓(含車位)","高雄市三民區黃興路91~120號","23.8","4房/2廳/2衛","15 /共20層","53.95","6.29","--",0,15.8,850
"10312(實價)","公寓","高雄市三民區黃興路241~270號","30","3房/1廳/1衛","3 /共5層","25.46","6.83","--",0,7,177
"10312(實價)","住宅大樓(含車位)","高雄市三民區黃興路61~90號","0.3","3房/2廳/3衛","3 /共15層","101.12","14.37","22.98",0,24.3,2460
"10312(實價)","透天厝","高雄市鳥松區永昌街1~30號","28","5房/2廳/3衛","1 /共3層","43.54","29.04","--",0,27.1,1182
"10311(實價)","住宅大樓","高雄市三民區天民路121~150號","18.9","3房/2廳/2衛","16 /共16層","51.39","0","--",0,8.4,430
"10311(實價)","華廈","高雄市三民區天民路31~60號","19.8","3房/2廳/2衛","2 /共8層","30.99","7.12","--",0,16.1,500
"10311(實價)","透天厝","高雄市三民區黃興路151~180號","29.8","9房/0廳/4衛","1 /共4層","152.4","50.82","--",0,21,3200
"10311(實價)","住宅大樓","高雄市三民區清華街91~120號","20.5","3房/2廳/2衛","12 /共15層","34.11","4.38","--",0,14.7,500
"10311(實價)","公寓","高雄市三民區天民路13巷1~30號","34","3房/2廳/2衛","2 /共5層","30.32","8.47","--",0,10.4,315
"10311(實價)","住宅大樓(含車位)","高雄市三民區清華街61~90號","20.5","3房/2廳/2衛","9 /共15層","36.55","4.38","--",0,11.4,415
"10311(實價)","透天厝","高雄市三民區黃興路37巷1~30號","28.7","4房/2廳/3衛","1 /共3層","41.63","22.08","--",0,20.3,845
"10311(實價)","住宅大樓(含車位)","高雄市三民區黃興路61~90號","0.3","3房/2廳/3衛","8 /共15層","77.16","10.94","19",0,21.3,1640
"10311(實價)","住宅大樓(含車位)","高雄市三民區黃興路61~90號","0.3","3房/2廳/3衛","6 /共15層","77.16","10.94","19",0,21.1,1630
"10311(實價)","透天厝","高雄市三民區黃興路151~180號","29.8","0房/0廳/0衛","1 /共4層","106.81","37.51","--",0,18.7,2000
"10311(實價)","住宅大樓(含車位)","高雄市三民區陽明路471巷1~30號","21.7","5房/2廳/3衛","11 /共12層","62.3","8.94","--",0,12.2,760
"10311(實價)","華廈","高雄市三民區堅如路61~90號","21.2","3房/2廳/2衛","6 /共9層","46.83","7.07","--",0,13.3,625
"10311(實價)","透天厝","高雄市鳥松區清華街本昌巷36弄1~30號","1.3","4房/2廳/3衛","1 /共4層","100.99","43.56","--",0,27.7,2800
"10311(實價)","透天厝","高雄市鳥松區清華街本昌巷1~30號","0.8","5房/3廳/5衛","1 /共4層","86.31","34.79","--",0,33.8,2920
"10310(實價)","公寓","高雄市三民區澄明街10巷1~30號","34.7","3房/1廳/2衛","5 /共5層","25.19","7.21","--",0,7.1,180
