"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","公寓","台北市大安區四維路52巷1~30號","43.3","2房/1廳/2衛","4 /共4層","16.63","5.97","--",0,96.2,1600
"10403(實價)","華廈","台北市大安區敦化南路二段63巷53弄1~30號","29.9","3房/2廳/2衛","5 /共7層","4.59","1.04","--",0,32.7,150
"10403(實價)","套房","台北市大安區信義路四段31~60號","44","1房/1廳/1衛","5 /共6層","9.47","0","--",0,40.4,382
"10402(實價)","住宅大樓","台北市大安區敦化南路一段361~390號","34","5房/2廳/2衛","9 /共12層","53.06","4.33","--",0,98.9,5250
"10402(實價)","住宅大樓","台北市大安區信義路四段199巷1~30號","33.1","4房/2廳/2衛","3 /共12層","48.72","4.78","--",0,90.3,4400
"10402(實價)","住宅大樓(含車位)","台北市大安區四維路66巷1~30號","19.4","3房/2廳/2衛","3 /共16層","52.52","8.53","--",0,71.5,3753
"10402(實價)","住宅大樓","台北市大安區信義路四段151~180號","34","3房/2廳/2衛","12 /共12層","38.99","3.84","--",0,97.5,3800
"10402(實價)","住宅大樓","台北市大安區信義路四段121~150號","","1房/1廳/1衛","5 /共12層","15.95","1.82","--",0,62.7,1000
"10402(實價)","住宅大樓(含車位)","台北市大安區信義路四段181~210號","32.3","4房/2廳/2衛","9 /共14層","185.74","15.3","28.04",0,87.5,16250
"10401(實價)","公寓","台北市大安區四維路91~120號","","5房/2廳/1衛","3 /共4層","13.03","3.73","--",0,92.1,1200
"10312(實價)","套房","台北市大安區大安路一段181~210號","6.2","1房/1廳/1衛","11 /共12層","9.7","0.98","--",0,163.5,1586
"10312(實價)","套房","台北市大安區大安路一段181~210號","6.2","1房/1廳/1衛","5 /共12層","10.45","1.06","--",0,150,1568
"10312(實價)","住宅大樓","台北市大安區仁愛路四段91~120號","","2房/2廳/3衛","15 /共15層","37.13","4.61","--",0,107.7,4000
"10312(實價)","公寓","台北市大安區四維路154巷1~30號","","2房/1廳/1衛","2 /共4層","29.22","11.57","--",0,53.2,1555
"10312(實價)","住宅大樓","台北市大安區大安路一段181~210號","6.2","2房/1廳/1衛","4 /共12層","10.57","1.07","--",0,151.3,1600
"10312(實價)","住宅大樓","台北市大安區安和路二段61~90號","32.8","3房/2廳/2衛","8 /共12層","48.85","5.16","--",0,100,4885
"10312(實價)","華廈","台北市大安區仁愛路四段112巷3弄1~30號","31.9","5房/3廳/4衛","7 /共7層","33.67","5.12","--",0,118.8,4000
"10312(實價)","公寓","台北市大安區四維路91~120號","","3房/2廳/1衛","4 /共4層","24.75","9.08","--",0,84.8,2100
"10312(實價)","住宅大樓","台北市大安區敦化南路二段1~30號","","3房/2廳/2衛","9 /共12層","24.72","2.62","--",0,97.1,2400
"10312(實價)","華廈","台北市大安區仁愛路四段112巷9弄1~30號","31.9","3房/1廳/2衛","5 /共7層","39.48","6.47","--",0,68.4,2700
"10312(實價)","公寓","台北市大安區安和路一段135巷1~30號","26.4","4房/2廳/2衛","3 /共5層","41.3","11.01","--",0,37.3,1540
"10312(實價)","公寓","台北市大安區四維路44巷1~30號","45.4","2房/1廳/1衛","1 /共4層","65.2","24.57","--",0,64,4172
"10311(實價)","住宅大樓","台北市大安區安和路二段1~30號","32.5","3房/2廳/2衛","11 /共12層","36.47","4.31","--",0,115.2,4200
"10311(實價)","住宅大樓","台北市大安區信義路四段121~150號","32.8","3房/2廳/2衛","4 /共12層","45.51","4.12","--",0,106.1,4830
