"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10403(實價)","公寓","新北市新店區文化路37巷31~60號","41.3","3房/1廳/1衛","2 /共4層","21.54","9.71","--",0,45.5,980
"10402(實價)","公寓","新北市新店區大豐路41巷8弄1~30號","34.1","3房/2廳/2衛","2 /共4層","31.87","12.11","--",0,43.3,1380
"10402(實價)","套房","新北市新店區建國路241~270號","5.7","1房/1廳/1衛","6 /共9層","12.97","2.78","--",0,67.1,870
"10402(實價)","華廈(含車位)","新北市新店區民族路48巷1~30號","6.2","2房/2廳/1衛","3 /共7層","27.68","5.14","--",0,52.4,1450
"10402(實價)","住宅大樓","新北市新店區民權路31~60號","9.1","4房/2廳/2衛","10 /共23層","51.01","4.48","--",0,70,3570
"10402(實價)","公寓","新北市新店區二十張路1巷1~30號","26.5","3房/2廳/2衛","1 /共5層","36.24","9.34","--",0,55.5,2010
"10401(實價)","公寓","新北市新店區民權路11巷1~30號","34.5","3房/2廳/2衛","2 /共5層","36.12","12.1","--",0,41.5,1500
"10401(實價)","住宅大樓(含車位)","新北市新店區中興路三段211~240號","18.3","2房/2廳/1衛","13 /共25層","37.69","1.85","13.63",0,45,1695
"10401(實價)","住宅大樓(含車位)","新北市新店區建國路241~270號","6.1","3房/2廳/2衛","13 /共25層","19.71","1.76","2.88",0,46.7,920
"10401(實價)","華廈","新北市新店區大豐路16巷3弄1~30號","12.8","3房/2廳/1衛","1 /共7層","26.37","5.91","--",0,62.6,1650
"10401(實價)","公寓","新北市新店區民族路1~30號","40","3房/1廳/1衛","4 /共4層","24.85","7.36","--",0,60.4,1500
"10401(實價)","住宅大樓(含車位)","新北市新店區民權路91~120號","9.1","4房/2廳/2衛","21 /共27層","74.8","7.89","10.49",0,57.3,4285
"10401(實價)","住宅大樓(含車位)","新北市新店區建國路241~270號","6.1","3房/2廳/2衛","13 /共25層","87.16","7.08","14.4",0,44.5,3880
"10312(實價)","住宅大樓","新北市新店區中興路三段211~240號","18.1","3房/3廳/2衛","18 /共24層","21.97","1.55","--",0,59.2,1300
"10312(實價)","住宅大樓(含車位)","新北市新店區民權路91~120號","9","3房/2廳/2衛","4 /共27層","60.19","5.96","11.13",0,51.8,3120
"10312(實價)","住宅大樓(含車位)","新北市新店區二十張路31~60號","21","3房/2廳/2衛","9 /共13層","46.82","6.3","--",0,48.9,2290
"10312(實價)","公寓","新北市新店區二十張路46巷37弄1~30號","27.7","4房/2廳/2衛","5 /共5層","42.98","13.08","--",0,27.9,1200
"10312(實價)","住宅大樓","新北市新店區北新路三段91~120號","12.7","3房/2廳/2衛","10 /共12層","36.32","4.75","--",0,57.3,2080
"10312(實價)","住宅大樓(含車位)","新北市新店區中興路三段241~270號","13.6","3房/2廳/2衛","7 /共14層","45.05","4.24","8.47",0,52.6,2370
"10311(實價)","住宅大樓(含車位)","新北市新店區自立街91~120號","12.2","4房/2廳/2衛","12 /共24層","60.96","9.18","10.01",0,50.8,3100
"10311(實價)","華廈(含車位)","新北市新店區中興路三段247巷5弄1~30號","17.8","3房/2廳/1衛","4 /共7層","35.98","6.48","--",0,46.4,1670
"10311(實價)","公寓","新北市新店區二十張路105巷1~30號","26.1","3房/2廳/2衛","2 /共5層","47.21","14.12","--",0,36.2,1710
"10311(實價)","公寓","新北市新店區大豐路1~30號","30.1","4房/2廳/2衛","4 /共5層","40.68","8.68","--",0,38.2,1556
"10311(實價)","公寓","新北市新店區復興路29巷1~30號","46.1","3房/2廳/2衛","3 /共4層","31.44","13.38","--",0,26.7,840
"10311(實價)","公寓","新北市新店區北新路三段105巷1~30號","34.1","3房/2廳/2衛","4 /共5層","32.64","8.7","--",0,47.9,1565
"10311(實價)","公寓","新北市新店區復興路80巷1~30號","33.2","3房/2廳/2衛","5 /共5層","30.94","7.57","--",0,45.3,1400
"10311(實價)","住宅大樓","新北市新店區中興路三段211~240號","18.1","1房/1廳/1衛","9 /共25層","16.63","1.27","--",0,63.1,1050
"10311(實價)","住宅大樓","新北市新店區復興路31~60號","19","0房/0廳/1衛","2 /共14層","9.44","0.9","--",0,45.6,430
"10311(實價)","住宅大樓(含車位)","新北市新店區民權路91~120號","8.9","3房/2廳/2衛","8 /共27層","59.24","6.01","9.6",0,57.1,3380
"10311(實價)","住宅大樓","新北市新店區復興路31~60號","19","2房/1廳/1衛","13 /共14層","17.1","1.58","--",0,42.1,720
"10310(實價)","公寓","新北市新店區順安街1~30號","33.9","2房/2廳/1衛","5 /共5層","24.5","7.54","--",0,38.8,951
"10310(實價)","公寓","新北市新店區大同街1~30號","26.2","3房/2廳/2衛","3 /共5層","25.89","9.6","--",0,50.2,1300
"10310(實價)","公寓","新北市新店區復興路34巷1~30號","36.3","3房/2廳/2衛","2 /共4層","28.31","10.38","--",0,29.3,830
"10310(實價)","套房","新北市新店區復興路31~60號","18.9","1房/1廳/1衛","3 /共14層","7.37","0.62","--",0,47.5,350
"10310(實價)","住宅大樓","新北市新店區中興路三段211~240號","15.8","2房/2廳/1衛","11 /共24層","18.66","1.53","--",0,67,1250
"10310(實價)","住宅大樓","新北市新店區復興路31~60號","18.9","1房/1廳/1衛","10 /共14層","9.43","1.01","--",0,42.4,400
"10310(實價)","公寓","新北市新店區北新路三段65巷12弄1~30號","34.9","3房/2廳/2衛","1 /共5層","21.53","10.06","--",0,76.7,1650
"10310(實價)","套房","新北市新店區中興路三段211~240號","18","1房/1廳/1衛","15 /共25層","16.26","1.27","--",0,59,960
"10310(實價)","住宅大樓(含車位)","新北市新店區民權路91~120號","8.8","3房/2廳/2衛","12 /共27層","68.79","6.01","20.6",0,49.2,3383
"10310(實價)","套房","新北市新店區中興路三段211~240號","17.9","1房/0廳/1衛","2 /共24層","9.08","0.52","--",0,63.4,576
"10310(實價)","公寓","新北市新店區自立街31~60號","43","3房/2廳/1衛","4 /共4層","24.35","10.54","--",0,43.1,1050
"10310(實價)","公寓","新北市新店區二十張路25巷18弄1~30號","34.8","3房/2廳/2衛","2 /共5層","25.37","9.44","--",0,48.8,1237
"10310(實價)","公寓","新北市新店區寶安街68巷1~30號","33.1","1房/2廳/1衛","4 /共5層","26.67","8.21","--",0,48.3,1288
"10310(實價)","公寓","新北市新店區二十張路79巷1~30號","39.2","5房/0廳/5衛","2 /共4層","28.98","8.72","--",0,43.6,1263
"10310(實價)","套房","新北市新店區中興路三段247巷5弄1~30號","17.7","1房/0廳/1衛","7 /共7層","10.71","1.95","--",0,65.4,700
