"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr"
"10401(實價)","華廈(含車位)","台南市永康區埔聖街81巷1~30號","17.6","3房/2廳/3衛","1 /共8層","63.38","8.39","--",0,8.8,555
"10401(實價)","華廈(含車位)","台南市永康區埔聖街81巷1~30號","17.6","3房/2廳/3衛","1 /共8層","59.95","7.87","--",0,7.4,446
"10401(實價)","華廈","台南市永康區中山北路61~90號","19.2","3房/1廳/2衛","3 /共8層","31.47","5.55","--",0,8.3,260
"10401(實價)","華廈(含車位)","台南市永康區永康里永中街31~60號","21.2","3房/2廳/2衛","7 /共7層","41.25","7.33","--",0,8.5,350
"10312(實價)","透天厝","台南市永康區永康里25鄰中山北路121~150號","26.7","6房/0廳/6衛","1 /共2層","53.75","45.12","--",0,25.7,1380
"10312(實價)","華廈(含車位)","台南市永康區永康里中山路1~30號","17.6","3房/1廳/2衛","2 /共8層","32.58","8.46","0.16",0,16.3,530
"10312(實價)","透天厝","台南市永康區永明街61~90號","11.8","4房/2廳/3衛","1 /共4層","76.39","27.55","--",0,20.9,1600
"10312(實價)","華廈(含車位)","台南市永康區龍潭里中山北路164巷78弄1~30號","17.1","3房/2廳/2衛","5 /共8層","35.42","5.61","--",0,9.7,345
"10312(實價)","華廈","台南市永康區國民路231巷31~60號","22.4","3房/1廳/2衛","2 /共5層","22.09","7.25","--",0,9.5,210
"10312(實價)","華廈","台南市永康區永大路二段1310巷1~30號","21.5","3房/1廳/2衛","4 /共7層","31.9","5.56","--",0,8.4,268
"10312(實價)","住宅大樓","台南市永康區中山北路91~120號","20.4","3房/2廳/2衛","12 /共19層","31.95","2.93","--",0,11.1,355
"10311(實價)","住宅大樓","台南市永康區永大路二段1111~1140號","20.3","2房/2廳/1衛","17 /共19層","26.87","2.36","--",0,9.5,255
"10311(實價)","透天厝","台南市永康區中山北路164巷68弄1~30號","13.8","5房/2廳/3衛","1 /共4層","52.63","22.5","--",0,11.8,623
"10311(實價)","住宅大樓(含車位)","台南市永康區永大路二段1526巷2弄1~30號","19.5","2房/2廳/1衛","10 /共14層","38.87","3.13","--",0,7.2,280
"10311(實價)","華廈(含車位)","台南市永康區埔聖街81巷1~30號","17.4","4房/1廳/4衛","1 /共8層","61.32","8.15","--",0,8.5,520
"10311(實價)","華廈","台南市永康區龍潭里中山北路164巷91~120號","21.7","3房/2廳/2衛","2 /共5層","25.91","8.34","--",0,12,310
"10310(實價)","華廈","台南市永康區龍潭里國民路231巷31~60號","22.3","3房/2廳/2衛","1 /共5層","24.92","7.25","--",0,11.2,280
"10310(實價)","透天厝","台南市永康區國民路231巷1弄1~30號","15.8","5房/2廳/3衛","1 /共4層","60.21","25.48","--",0,12,720
"10310(實價)","透天厝","台南市永康區永康里永明街151~180號","8","5房/3廳/4衛","1 /共4層","81.42","28.43","--",0,17.1,1396
