"opr.id.md5","m.call","call.sd","start.dt","last.dt","days","l_s"
"B9C0FD455E0251F968DDEDF3B7547DC1",132.700854700855,38.301945785917,"2014-10-01","2015-03-31",117,182
"D964BF33441BB6BBB30225B94709D765",132.55652173913,29.7814234175943,"2014-10-01","2015-03-30",115,181
"5A3B6A5A7BF33A35091D621EF6613756",132.425531914894,54.7022221171383,"2014-10-01","2015-02-26",94,149
"461E1AE42034AA0C25E1234BA0D31E88",132,NA,"2014-10-05","2014-10-05",1,1
"95A21F44505ACA671066970E9ACA8C8B",131.133333333333,40.6201782314138,"2014-10-01","2015-03-31",120,182
"6FF922CDF206C656CC365BB620F40D53",130.05,43.9531549713189,"2014-10-01","2015-03-31",120,182
"626FE6BCB7757EC63C600B979DE13054",129.838709677419,69.6082402253111,"2014-10-01","2015-03-31",124,182
"F869FE77E9568F2B3C92DDD5F8EB712B",129.771929824561,27.6235871661201,"2014-10-01","2015-03-31",114,182
"A599686D159FE60156D155B80B5FDC7C",129.136363636364,46.5313979552624,"2014-10-11","2015-03-14",22,155
"AB0ED82B1F36C0113671A165E32AE7F4",128.030303030303,38.131749278394,"2015-01-28","2015-03-31",33,63
"44FCFAF0422B608D99CE733B222BC14E",127.573770491803,37.2170133566164,"2014-10-02","2015-03-31",122,181
"D87163A32CA06E639BC2FB30AA76F8DD",127.483333333333,26.8744304870932,"2014-10-01","2015-03-31",120,182
"A95483B406D565BBEC8AB5D45881C384",127.25,43.6351088834751,"2014-10-19","2015-03-28",12,161
"175AAE73EAEE9FB9E1F292AE9F46AA74",127.033613445378,24.9721651054269,"2014-10-01","2015-03-31",119,182
"C75C0251D2F57CC4F1F590D355416027",126.541666666667,32.2258041168935,"2014-10-01","2015-03-31",120,182
"CF0AB20ECABE008C9B7BD3475C8EC060",125.798449612403,46.559501555295,"2014-10-01","2015-03-31",129,182
"859BB0DFBFBCE717D0686EFDCF40E2DA",125.635658914729,49.0036570676899,"2014-10-02","2015-03-31",129,181
"6CDBE99379590FA622411175008C2609",125.141666666667,35.0994495475843,"2014-10-01","2015-03-31",120,182
"D22A20089669F868EA657294D616B7B7",125,13.253930234714,"2015-03-23","2015-03-30",7,8
"A0564E597F231B90AE22366DB04DD070",124.859504132231,33.2278261364186,"2014-10-01","2015-03-31",121,182
"16516731D397A976F14573A4F5D2D1DB",124.837606837607,52.566535386111,"2014-10-03","2015-03-31",117,180
"6C4BA286F4374C620C19E35F7F8FA924",124.735849056604,28.5984687857809,"2014-10-01","2015-03-27",106,178
"180EB3F22F92B42A9CD0E6C508660E65",124.023076923077,41.9644488490358,"2014-10-01","2015-03-31",130,182
"52941D285D8C637E81C7B9F36ABBE1C4",123.75,33.1296932762224,"2014-10-01","2015-03-31",112,182
"D93DB42E63D2267C204DA1A58D1B6F42",121.991525423729,37.4376965657467,"2014-10-01","2015-03-31",118,182
"4D9740AC86F7CC14D4532E1274A83FAF",121.258333333333,37.0544672531851,"2014-10-01","2015-03-31",120,182
"D338504B04C93DB7C7541996BEC16B05",121.108108108108,39.5769334452994,"2014-10-02","2015-03-31",111,181
"462501E66471A421A65D62FED36C63CB",120.941747572816,45.3982001117515,"2014-10-27","2015-03-31",103,156
"3A28FAB453663811A2CEC85CF7A67EA6",120.655172413793,29.5122976425748,"2014-10-01","2015-03-31",116,182
"BE8A4C4B309DD98500819581FBF6951C",120.407407407407,17.8093736322699,"2014-10-01","2014-11-12",27,43
"C5DD1C691834E492A1768241BBA93F6B",119.186440677966,24.4316416500953,"2014-10-01","2015-03-31",118,182
"580124F723AABFF096EFD55D7564CA80",118.813559322034,39.3172390263971,"2014-10-01","2015-03-31",118,182
"868146A8D4A2CF4D7A2618EDDA652862",118.707317073171,34.5155540388932,"2014-10-01","2015-03-31",123,182
"C4894275312EFB8C71E04B7318AC84F4",118.47572815534,33.7295601606552,"2014-10-02","2015-03-31",103,181
"1A2F6E69B3E1EB741927820AF8CDE1CF",118,NA,"2014-10-05","2014-10-05",1,1
"C3BC8AC18F7D70B68A1906BCBA0B3BAB",117.950413223141,31.4607827937337,"2014-10-01","2015-03-31",121,182
"13DA34590E1965FB50A382A3BCA18D8E",117.702702702703,30.4011347260097,"2014-10-01","2015-03-30",111,181
"CFC303F03DCF3DF9D4B3A11D84DB78F8",117.697478991597,35.8453728715788,"2014-10-01","2015-03-31",119,182
"9DBCCED317134C5DE72D3216ADF6E3B0",116.95652173913,18.9328805044128,"2014-10-01","2015-03-31",69,182
"7FE097D13B9BB68F6E1AB408AD0283E8",116.669117647059,40.8944540561311,"2014-10-01","2015-03-31",136,182
"3ED2ED395F29BAE7099D0BF075F609F5",116.038759689922,48.0795894683972,"2014-10-04","2015-03-31",129,179
"1092EE7F6C9BC666E110AD1B1B0DDF6C",115.965811965812,39.2908982230139,"2014-10-01","2015-03-31",117,182
"D342378BEF90FAA967372F3022BBAB23",115.547008547009,35.5254876271456,"2014-10-01","2015-03-31",117,182
"6BF931AB40FD150828DFCA858C659BD0",114.153846153846,27.3513585947047,"2014-10-01","2015-03-31",117,182
"C5F9B321A663462875CCBD91338A277C",113.829268292683,28.4151619989651,"2014-10-01","2015-03-31",123,182
"0407254A4D58A0710640E327DC1ED08C",113.716666666667,43.8285780935576,"2014-10-01","2015-03-30",120,181
"1E3768DF9D04CBAD5683E5A3801EC8D8",113.147540983607,36.1207049278081,"2014-10-01","2015-03-31",122,182
"33372613DEC206AAB0CCDF436C435ACE",113,21.3456771041465,"2014-10-01","2015-03-31",117,182
"F59F25D57997E1760BCC3198256795DF",112.457142857143,40.3262542662335,"2014-10-01","2015-03-31",140,182
"3E41C542C67F2847F2C37B9BB94AB4A9",112.245454545455,17.311599952366,"2014-10-01","2015-03-31",110,182
"0609DE69A5DDF2F17C8B08A98654F767",111.431034482759,30.7713090925356,"2014-10-01","2015-03-31",116,182
"C04934D9CEF6F45256D9471DB44F5635",110.181818181818,51.7239174498958,"2014-10-11","2015-03-29",11,170
"9C18BB9F0F44A1246C44E821745664BD",109.305084745763,42.3232389488442,"2014-10-01","2015-03-20",118,171
"3B5BF674558AE1C226C2CBAA6546B146",109.027777777778,22.3437286914697,"2014-10-02","2015-03-31",108,181
"F45B19C420AD42FAEF49F3DBF3E0D3A6",108.949579831933,29.6321655110255,"2014-10-01","2015-03-31",119,182
"A75AE036EAFE7A13CE968CBC2E8735F1",108.652173913043,34.0876176207316,"2014-10-01","2015-03-27",115,178
"93643210EDF60A80962FA2124493B6E0",108.013888888889,41.5951157217245,"2014-10-01","2015-03-31",144,182
"0373F6F85AD453D5B7532DBFAA562EA3",107.741935483871,34.5540394418931,"2014-10-01","2015-03-31",124,182
"C5EDACD7AB8C525DF0A8702555197D7B",107.142857142857,50.432887984689,"2014-12-13","2015-03-15",7,93
"8FFB3F0ABAB1917314942161279AC9E7",106.815384615385,33.3294070436594,"2014-10-01","2015-03-31",130,182
"AFC768C3747AA393500AF2C4A09B46D1",106.692913385827,38.5055163665048,"2014-10-01","2015-03-31",127,182
"747D62C5AAB374522207A1E8545E5CCD",106.621848739496,36.293528301244,"2014-10-01","2015-03-31",119,182
"467516858DF3CE0D3EFD4E6BC443BE61",106.605263157895,20.8681568916382,"2014-10-01","2015-03-31",114,182
"A5BCD17B760B5F17FDF73132722055E6",106.094736842105,20.2448174004842,"2014-10-01","2015-03-31",95,182
"BCB0640FFFA5F7A1A3458BACF868FB3C",105.857142857143,62.5175140295866,"2014-10-19","2015-03-29",14,162
"85C4ADFD93E4A9561E61F98BD56D0373",105.411764705882,40.1695300862486,"2014-10-01","2015-03-30",102,181
"584A2883475F09D678167FD37C625263",103.992,34.1794354320198,"2014-10-01","2015-03-31",125,182
"E2B4A26AC52CDFCDCE0B5239EF85F867",103.91452991453,27.9431604886792,"2014-10-01","2015-03-30",117,181
"D80F4767757CE8E3D2167A34E8967392",103.611111111111,33.8762388047368,"2014-10-01","2015-03-31",126,182
"23976D3F90E76FC042A39C75B1E58A18",103.478991596639,31.236345827728,"2014-10-01","2015-03-31",119,182
"A18F62BC11FF38538E1397E951F7D3E1",103,NA,"2014-10-05","2014-10-05",1,1
"285F05F051B501526FADAFE6B76A5F24",102.973913043478,37.6359432694578,"2014-10-01","2015-03-30",115,181
"5D5C4B3DEDA97FCFC9AA9FECF6C28EA9",102.8,55.900308088994,"2014-11-09","2015-03-14",10,126
"F40A8F4F124556A4FB04541DEC118230",102.068493150685,46.651285788855,"2014-12-05","2015-03-31",73,117
"243B54D524A66DA6C886042FAF70CE4C",102.061403508772,22.7309329172181,"2014-10-01","2015-03-31",114,182
"237D88D4014E49D9902BF1C14F172FA5",101.237288135593,26.7577540374738,"2014-10-01","2015-03-31",118,182
"07C2C0FCE275336741B20DE077EF5BBF",101,33.7821606028981,"2014-10-01","2015-03-28",129,179
"34A5319C71D36D7F6FF727965D07B3D6",100.949579831933,31.5672133975486,"2014-10-01","2015-03-31",119,182
"9C4CE56DE94FE6A51D6623821EB3B93A",100.469565217391,23.9957312501694,"2014-10-01","2015-03-31",115,182
"7E4DA42569D83C73B874FC903DA7E2D7",100.216666666667,42.7175958733504,"2014-10-01","2015-03-31",120,182
"9B4ADBCF4498421C04B572F465590009",100.185483870968,37.4537909194184,"2014-10-01","2015-03-31",124,182
"BA37CCA3264A6616555370886AF24BB4",99.7851239669422,27.3590955660606,"2014-10-01","2015-03-31",121,182
"2EEAAD17F1DAC7FC0035152727FFE119",97.672131147541,29.3838778033043,"2014-10-01","2015-03-31",122,182
"9F5076296F88BB53EE9DD69DCB2A82C3",96.9,23.2543902664995,"2015-02-11","2015-03-06",10,24
