"cty","dist","vil","vil.pay","fam.num","t.pay","med.pay","Q1.pay","Q3.pay","sd.pay","var.pay"
"臺北市","大安區","古莊里",1428,2586,3691588,855,445,1715,2445.82,171.33
"臺北市","大安區","錦安里",1877,2149,4033932,1025,477,2074,4082.39,217.48
"臺北市","大安區","大學里",1538,3142,4831652,930,444,1860,2351.19,152.9
"臺北市","大安區","古風里",1572,1541,2421960,921,440,1845,3988.61,253.78
"臺北市","大安區","全安里",2539,1727,4384543,889,444,1872,24506.44,965.27
"臺北市","大安區","黎元里",846,1714,1450535,630,371,1090,819.03,96.78
"臺北市","大安區","法治里",1356,1645,2230851,781,402,1580,2277.57,167.94
"臺北市","大安區","龍泉里",1500,1763,2645373,906,421,1758,4412.18,294.05
"臺北市","大安區","<U+7FA3>英里",1261,2482,3129227,821,402,1609,2566.86,203.6
"臺北市","大安區","學府里",1228,809,993724,746,400,1587,1320.99,107.54
"臺北市","中正區","南門里",1691,941,1591426,865,414,1718,4163.05,246.16
"臺北市","中正區","龍興里",1156,1196,1382915,795,424,1455,1384.03,119.7
"臺北市","中正區","愛國里",1225,1150,1408576,776,417,1448,1846.55,150.76
"臺北市","中正區","龍光里",1326,1203,1595240,899,455,1706,1552.15,117.05
"臺北市","中正區","河堤里",1170,1648,1927590,779,429,1448,1701.47,145.47
"臺北市","中正區","龍福里",1296,2128,2758667,920,452,1700,1428.67,110.21
"臺北市","中正區","螢雪里",957,1528,1461989,648,375,1220,1003.37,104.87
"臺北市","中正區","永昌里",873,1483,1294714,613,344,1096,1060.95,121.52
"臺北市","中正區","文盛里",1250,951,1188655,830,413,1593,1356.91,108.56
"臺北市","中正區","忠勤里",711,1741,1237797,534,320,898,622.78,87.6
"臺北市","中正區","永功里",1104,2076,2292143,709,391,1311,2660.08,240.92
"臺北市","中正區","螢圃里",1082,1946,2105620,677,376,1314,1666.61,154.03
"臺北市","中正區","幸市里",2023,1784,3609843,877,414,1848,4596.23,227.15
"臺北市","中正區","文祥里",1564,2694,4213208,1009,452,2039,1881.52,120.31
"臺北市","中正區","黎明里",1470,1097,1612779,847,436,1603,3857.09,262.36
"臺北市","中正區","建國里",1516,501,759609,919,415,1822,2039.12,134.49
"臺北市","中正區","光復里",1616,1243,2008625,738,405,1400,7630.53,472.2
"臺北市","中正區","東門里",4483,1446,6482535,863,427,1796,107802.34,2404.65
"臺北市","中正區","板溪里",1110,1202,1334693,762,405,1409,1208.1,108.8
"臺北市","中正區","文北里",2500,2110,5275814,985,451,2126,11008.8,440.28
"臺北市","中正區","梅花里",1439,1305,1877451,819,403,1597,2916.08,202.69
"臺北市","中正區","廈安里",1176,1309,1539126,763,429,1479,1392.43,118.42
"臺北市","中正區","網溪里",1147,2054,2356568,757,397,1425,1306.05,113.84
"臺北市","中正區","林興里",1242,1543,1916085,793,399,1524,1890.4,152.23
"臺北市","中正區","幸福里",1477,1671,2468607,840,415,1643,2752.77,186.34
"臺北市","中正區","水源里",1054,1063,1120167,696,390,1266,1381.52,131.1
"臺北市","中正區","富水里",1234,814,1004295,750,389,1499,1551.31,125.74
"臺北市","中正區","頂東里",1205,2207,2658924,786,421,1507,1464.43,121.55
"臺北市","中正區","新營里",1660,3021,5014670,1072,513,2059,2672.62,161.01
