"brh.id","brh.name","brh.zip","brh.addr","brh.lat","brh.lng"
"1137","仁德分行","71742","台南市仁德區中山路295號",22.9705595,120.2603389
"1001","新營分行","73047","台南市新營區民治路336號",23.3061034,120.3034332
"1311","南永康分行","71069","台南市永康區中華路198號",23.004668,120.23564
"0082","高雄分行","80247","高雄市苓雅區四維四路3號",22.6164337,120.3024032
"0624","大順分行","80292","高雄市苓雅區大順三路88號",22.631737,120.324951
"0668","苓雅分行","80263","高雄市苓雅區和平二路305號",22.6157726,120.3224281
"0196","前鎮分行","80645","高雄市前鎮區瑞隆路474號",22.6055028,120.3291564
"0299","七賢分行","80042","高雄市新興區林森一路233號",22.6339253,120.3047644
"0347","北高雄分行","80794","高雄市三民區明誠二路118號",22.660628,120.312164
"0679","三民分行","80743","高雄市三民區博愛一路195號",22.6468801,120.302968
"0705","大昌分行","80792","高雄市三民區鼎中路343號",22.666127,120.319256
"0727","澄清分行","80771","高雄市三民區陽明路457號",22.6464905,120.3427889
"0635","左營分行","81358","高雄市左營區博愛二路578號",22.66779,120.303743
"0646","楠梓分行","81150","高雄市楠梓區軍校路980號",22.7129621,120.2916822
"0738","小港分行","81254","高雄市小港區康莊路47號",22.5685,120.356879
"0244","鳳山分行","83061","高雄市鳳山區五甲一路100號",22.6209554,120.3568636
"0794","岡山分行","82041","高雄市岡山區壽天路99號",22.7952908,120.2915667
"0819","林園分行","83252","高雄市林園區林園北路343號",22.5098495,120.3943837
"0831","後庄分行","83143","高雄市大寮區鳳屏一路492號",22.636477,120.3932408
"0934","屏東分行","90075","屏東縣屏東市永福路9號",22.671367,120.487079
"0956","潮州分行","92045","屏東縣潮州鎮中山路158號",22.549586,120.539025
"0978","東港分行","92849","屏東縣東港鎮中山路75號",22.4669364,120.4495764
"0451","羅東分行","26550","宜蘭縣羅東鎮公正路154號",24.678859,121.769188
"1023","花蓮分行","97048","花蓮縣花蓮市中山路161號",24.0130777,121.5813383
"0716","台東分行","95046","台東縣台東市中正路239號",22.7553719,121.1536116
"1034","澎湖分行","88042","澎湖縣馬公市民生路2號",23.567441,119.567812
