"brh","cu.grp","m.clerk.num","m.serv","m.wait","m.tkt.num","m.wait.num","sd.clerk.num","sd.serv","sd.wait","sd.tkt.num","sd.wait.num"
"0082","GRP2",3.05737704918033,950.913817911341,622.747469723261,41.9344262295082,1.65478030335817,0.998338953750851,284.661299863587,333.322056689085,73.5805330104221,0.495163871759077
"0118","GRP2",3.05737704918033,1016.47614938549,182.528396980333,59.155737704918,1.22904841380199,0.468850895748439,275.324160844558,119.306883566962,95.2283050924126,0.237471784251911
"0129","GRP2",2.13934426229508,1026.35846323704,325.812044015132,43.0163934426229,1.45647409788816,0.469139774947596,252.710821649952,138.406528328827,76.5192120429806,0.30688809977629
"0130","GRP2",4.35245901639344,1162.87153061441,216.599296858292,74.0655737704918,1.46472811182083,0.667078633494688,253.461449141095,117.608395642513,97.1603205838117,0.40194234417621
"0141","GRP2",3.31147540983607,1146.31139416967,380.619546564393,37.8852459016393,1.57471894959243,0.863224468409811,308.23999490161,159.127580971385,67.7868800198947,0.350672840564504
"0152","GRP2",2.86065573770492,342.758496388058,392.045808196739,50.0901639344262,1.6644046642551,0.392398300147366,173.233181168724,154.071929418133,91.943928663913,0.399998728304246
"0163","GRP2",2.40983606557377,2104.79351403422,386.868508212413,69.0737704918033,1.25423766629227,0.735792127946493,889.542246481434,212.274710967618,97.7303735688005,0.246904495381171
"0174","GRP2",2.77049180327869,1697.28787917503,278.359812249959,56.2950819672131,1.32876483691554,0.724846923091855,623.774351140622,161.069445155108,82.4817223454239,0.300023571728361
"0185","GRP2",3.12295081967213,341.355949677353,140.327029756352,53.7377049180328,1.23084931094982,0.662799832073015,146.759059605585,72.1519595877561,85.7522669896407,0.201027991687483
"0196","GRP2",2.99180327868852,977.260870651717,448.957980708809,43.6967213114754,1.46055959301596,0.922589793962108,260.068429837781,263.561366161723,79.1732997551576,0.478406677753442
"0211","GRP2",2.83606557377049,1445.95968940757,114.207558670083,65.8934426229508,1.09644357874077,0.520023135812481,443.796748438093,88.2898899322552,100.42774692952,0.122967234758716
"0222","GRP2",3.81967213114754,1425.9122944454,467.644680261958,48.4918032786885,1.75093011048556,1.0042586463674,295.104792409717,222.818740752421,75.790952806386,0.510598356684568
"0244","GRP2",3.13559322033898,709.962733619055,227.610068287653,51.1271186440678,1.40667906675863,0.866422591245352,427.492343141646,163.630110432714,86.0401959939049,0.383526890791853
"0255","GRP2",3.09836065573771,918.901380572705,287.196031741007,52.0655737704918,1.36044669893211,0.786348776166199,319.387712310954,172.888960406302,82.7418306576375,0.355150018581392
"0266","GRP2",3.17213114754098,659.118491142548,194.825683658206,45.9016393442623,1.29843489596696,0.688664091260798,372.4596001225,140.011915103834,78.5427619315478,0.342857767186202
"0277","GRP2",2.68852459016393,977.499937015636,268.855358778319,72.5819672131148,1.24425981604711,0.604145010411575,257.416547822054,138.280019207202,102.105992584754,0.209811436170773
"0288","GRP2",4.85245901639344,468.671461155697,147.353929238072,38.2377049180328,1.35986974187928,1.17601463944577,205.012961805244,81.7969979626871,72.9372030680042,0.233324393011166
"0299","GRP2",2.94262295081967,442.264035396683,172.3940456951,52.4508196721311,1.27542895112038,0.502870772349898,183.5564733322,115.74023579549,83.6006942178278,0.292254241913809
"0303","GRP2",1.84033613445378,1615.14337735094,445.395858343337,55.9831932773109,1.19273376017073,0.650725713225417,851.201659368061,309.658937617409,85.6901180143299,0.301425858884949
"0314","GRP2",3.31967213114754,1235.75489315771,131.30326077341,55.1311475409836,1.10348985829934,0.718887954839697,406.776748758516,76.8732514278205,86.7264104035338,0.114747669694768
"0325","GRP2",2.72131147540984,2025.09586774626,532.305761351739,55.6393442622951,1.41614317554073,0.911472290797707,788.660515579587,253.049900836282,91.7459721073005,0.339072375180597
"0336","GRP2",2.82786885245902,112.327732588602,284.824993376094,49.2622950819672,1.5432266744158,0.439620853753403,50.0094869591474,165.612953303054,78.7441513796882,0.474198576560212
"0347","GRP2",2.88429752066116,1005.70153937827,490.104908377066,56.7520661157025,1.76009435009358,0.98480186369838,236.74428840188,223.702779688218,91.8594289291828,0.559525792138973
"0358","GRP2",3.09090909090909,379.764841281514,183.083401491202,51.4793388429752,1.11800547663551,0.730296743340221,225.159901260543,110.954795100826,83.4993112919256,0.1517607777875
"0369","GRP2",3.07377049180328,1264.51153505574,223.510771731798,45.4508196721311,1.24362905328364,0.804615125764905,346.468235217633,218.978281943675,79.4578845209569,0.34737785817549
"0370","GRP2",3.19672131147541,1591.0992538562,342.456267948657,58.2622950819672,1.45497083914182,0.584077209068833,369.44393822545,205.239452677834,92.5432937128239,0.378958618821875
"0392","GRP2",2.52459016393443,215.424446028545,333.565913884961,60.4836065573771,1.27576624018338,0.752001349063525,115.842221912104,209.514716708974,95.3252139952955,0.28797854701055
"0406","GRP2",1.58196721311475,325.360119966963,289.199692474433,50.7377049180328,1.26582417364817,0.690432418514637,273.304910291515,208.774028658187,78.6356598264551,0.296019470104985
"0417","GRP2",3.58196721311475,1415.98748304063,343.894656266895,45.4754098360656,1.34936931065872,0.879896349403153,408.937177283804,232.065590534981,85.7080584959953,0.399218696721722
"0428","GRP2",1.76666666666667,171.669649929749,268.666485500367,43.7833333333333,1.1144546340599,0.590304483934775,149.884998927518,258.914956686426,73.583449835108,0.226754375267419
"0439","GRP2",2.70491803278689,1389.63636186535,314.554404876775,66.8688524590164,1.22853817515671,0.924313679629279,434.769390343127,179.60388960288,98.9029870124992,0.231721361622545
"0440","GRP2",3.13114754098361,785.881045803285,227.198914286421,55.155737704918,1.29937692315661,0.574252221950765,200.251377917035,140.6693975543,84.0967585672445,0.302847519858638
"0451","GRP2",3.75409836065574,1105.15256684726,325.704487904455,46.2950819672131,1.47648360085871,0.719406038407007,238.056477188514,176.621451856925,74.0688409437704,0.374186374449949
"0462","GRP2",3.22131147540984,1091.3007323547,226.675712950341,49.8360655737705,1.34286232100831,0.913736268458782,313.788520410346,118.017446124284,83.7492677314219,0.277870971818791
"0473","GRP2",2.44262295081967,1607.20511094279,302.760383069489,48.9836065573771,1.21919044070275,0.7390990755209,603.345421031657,240.292980314545,82.4544936961407,0.266687874353183
"0484","GRP2",2.90983606557377,1087.65343036335,137.479454477175,70.5901639344262,1.1221616040916,0.514325336159709,424.064512136284,88.1504178115913,98.0014972139265,0.148276060793552
