"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr","brh.id"
"10312(實價)","住宅大樓","台北市松山區敦化北路301~330號","40.3","1房/2廳/1衛","2 /共11層","26.96","4.44","--",0,85,2292,"0015"
"10311(實價)","住宅大樓","台北市中山區復興北路181~210號","28.4","2房/2廳/1衛","8 /共13層","25.62","4.9","--",0,78.3,2006,"0015"
"10311(實價)","住宅大樓","台北市中山區復興北路331~360號","33.8","2房/2廳/2衛","5 /共12層","44.23","6.04","--",0,74.1,3278,"0015"
"10311(實價)","住宅大樓(含車位)","台北市中山區興安街61~90號","28.7","3房/2廳/2衛","5 /共14層","38.97","8","--",0,46.2,1800,"0015"
"10311(實價)","住宅大樓","台北市松山區民權東路三段160巷1~30號","34.3","2房/1廳/1衛","11 /共12層","20.72","5.37","--",0,78.4,1625,"0015"
"10311(實價)","華廈","台北市松山區民生東路四段55巷1~30號","38.7","1房/1廳/1衛","2 /共7層","16.87","4.23","--",0,90.1,1520,"0015"
"10311(實價)","住宅大樓","台北市松山區民權東路三段121~150號","32.9","0房/0廳/0衛","6 /共12層","12.66","1.38","--",0,71.1,900,"0015"
"10311(實價)","透天厝","台北市松山區民生東路三段130巷1~30號","","4房/0廳/2衛","1 /共2層","12.16","6.96","--",0,61.1,742,"0015"
"10311(實價)","住宅大樓","台北市松山區民權東路三段103巷1~30號","29.6","3房/2廳/1衛","11 /共14層","30.25","5.79","--",0,62.4,1888,"0015"
"10311(實價)","華廈","台北市松山區復興北路313巷1~30號","34.9","3房/2廳/2衛","2 /共7層","14.05","2.76","--",0,71.2,1000,"0015"
"10311(實價)","住宅大樓","台北市松山區復興北路181~210號","29.5","2房/1廳/1衛","13 /共14層","31.44","5.1","--",0,66.8,2100,"0015"
"10311(實價)","住宅大樓","台北市中山區民生東路三段88巷1~30號","28.7","3房/2廳/2衛","12 /共15層","34.48","7.08","--",0,72.5,2500,"0015"
"10311(實價)","住宅大樓","台北市松山區復興北路181~210號","30.3","2房/2廳/1衛","12 /共12層","34.46","4.74","--",0,95.8,3300,"0015"
"10311(實價)","公寓","台北市松山區民生東路三段130巷18弄1~30號","28.8","3房/2廳/1衛","0 /共5層","38.29","10.61","--",0,67.9,2600,"0015"
"10310(實價)","公寓","台北市松山區復興北路231巷1~30號","28.8","3房/2廳/2衛","2 /共5層","46.24","12.71","--",0,45.4,2100,"0015"
"10310(實價)","華廈","台北市中山區復興北路361~390號","32.9","0房/0廳/0衛","2 /共7層","39.55","0","--",0,70,2768,"0015"
"10310(實價)","華廈","台北市中山區復興北路361~390號","32.9","4房/2廳/2衛","3 /共7層","39.55","0","--",0,60.1,2375,"0015"
"10310(實價)","華廈","台北市中山區復興北路361~390號","32.9","1房/1廳/1衛","-1 /共7層","17.09","0","--",0,46.8,800,"0015"
"10310(實價)","住宅大樓","台北市松山區敦化北路181~210號","","0房/0廳/0衛","13 /共13層","21.52","4.77","--",0,87.8,1890,"0015"
"10310(實價)","住宅大樓","台北市中山區復興北路181~210號","28.3","3房/2廳/1衛","13 /共15層","29.64","5.54","--",0,69.2,2050,"0015"
"10310(實價)","住宅大樓","台北市中山區民生東路三段88巷31~60號","28.6","3房/2廳/1衛","8 /共13層","31.56","6.45","--",0,69.1,2180,"0015"
"10310(實價)","華廈","台北市中山區復興北路361~390號","32.9","0房/0廳/0衛","1 /共7層","23.04","22.9","--",0,280.2,6455,"0015"
"10310(實價)","住宅大樓","台北市中山區興安街61~90號","28.6","3房/2廳/2衛","9 /共14層","39.84","8.28","--",0,70,2787,"0015"
"10310(實價)","住宅大樓","台北市松山區敦化北路301~330號","38","1房/1廳/1衛","12 /共12層","19.39","2.5","--",0,108.3,2100,"0015"
"10310(實價)","華廈","台北市松山區復興北路313巷1~30號","34.8","4房/2廳/2衛","5 /共7層","54.79","10.96","--",0,83.8,4590,"0015"
"10310(實價)","住宅大樓","台北市中山區復興北路190巷1~30號","28.3","3房/2廳/1衛","13 /共15層","29.64","5.54","--",0,63.1,1870,"0015"
"10310(實價)","住宅大樓","台北市中山區興安街91~120號","28.6","0房/0廳/0衛","3 /共14層","183.02","32.25","--",0,42.6,7800,"0015"
"10403(實價)","華廈","台北市松山區八德路四段1~30號","24.8","2房/2廳/1衛","3 /共7層","24.84","4.26","--",0,75.1,1866,"0026"
"10402(實價)","華廈","台北市松山區三民路1~30號","40.1","3房/2廳/2衛","7 /共8層","41.8","6.37","--",0,63.5,2656,"0026"
"10402(實價)","住宅大樓","台北市松山區健康路151~180號","21.9","3房/2廳/2衛","1 /共12層","33.09","6.28","--",0,70.1,2320,"0026"
"10402(實價)","公寓","台北市松山區八德路四段106巷2弄1~30號","","3房/2廳/2衛","4 /共4層","36.04","14.52","--",0,53,1910,"0026"
"10402(實價)","華廈","台北市松山區八德路四段121~150號","23.1","0房/0廳/0衛","4 /共7層","40.7","5.57","--",0,70.8,2880,"0026"
"10401(實價)","住宅大樓(含車位)","台北市松山區南京東路五段151~180號","4.2","4房/2廳/2衛","11 /共18層","84.68","5.62","10.76",0,94.5,8000,"0026"
"10401(實價)","住宅大樓(含車位)","台北市松山區八德路四段91~120號","24.9","4房/2廳/2衛","8 /共11層","54.43","8.37","--",0,71.3,3880,"0026"
"10401(實價)","華廈","台北市松山區八德路四段91巷3弄1~30號","28.1","4房/2廳/2衛","4 /共7層","43.41","8.46","--",0,80.4,3490,"0026"
"10401(實價)","住宅大樓","台北市松山區南京東路五段151~180號","30.2","3房/2廳/2衛","14 /共17層","39.59","3.25","--",0,83.3,3300,"0026"
"10401(實價)","華廈","台北市松山區南京東路五段66巷22弄1~30號","30.7","3房/2廳/2衛","7 /共7層","38.87","7.58","--",0,81.5,3168,"0026"
"10401(實價)","華廈","台北市松山區光復北路121~150號","31.5","0房/0廳/0衛","1 /共7層","17.29","3.42","--",0,186.8,3230,"0026"
"10401(實價)","住宅大樓","台北市松山區南京東路五段181~210號","30.9","2房/1廳/1衛","8 /共14層","23.76","2.18","--",0,90.1,2140,"0026"
"10401(實價)","住宅大樓","台北市松山區南京東路五段61~90號","34.9","3房/2廳/2衛","6 /共13層","33.83","3.52","--",0,68,2300,"0026"
"10401(實價)","公寓","台北市松山區八德路四段207巷1~30號","13.1","0房/0廳/1衛","5 /共5層","8.58","2.69","--",0,79.8,685,"0026"
"10401(實價)","華廈","台北市松山區延壽街330巷7弄1~30號","22.8","3房/2廳/2衛","7 /共7層","35.04","7.42","--",0,59.9,2100,"0026"
"10401(實價)","住宅大樓","台北市松山區八德路三段241~270號","32.3","2房/1廳/1衛","8 /共12層","13.51","1.02","--",0,86.6,1170,"0026"
"10401(實價)","公寓","台北市松山區南京東路五段123巷6弄1~30號","","0房/0廳/0衛","1 /共4層","16.93","6.09","--",0,42,711,"0026"
"10401(實價)","公寓","台北市松山區南京路五段123巷4弄1~30號","","0房/0廳/0衛","1 /共4層","8.95","3.81","--",0,254,2274,"0026"
"10401(實價)","公寓","台北市松山區南京東路五段66巷3弄31~60號","","3房/1廳/2衛","4 /共5層","20","6.44","--",0,80,1600,"0026"
"10401(實價)","公寓","台北市松山區南京東路五段66巷3弄31~60號","37.1","3房/1廳/2衛","4 /共5層","20.78","6.57","--",0,79.9,1660,"0026"
"10401(實價)","住宅大樓","台北市松山區南京東路五段31~60號","31.1","3房/2廳/1衛","7 /共12層","34.55","5.03","--",0,77,2660,"0026"
"10401(實價)","住宅大樓","台北市松山區南京東路五段31~60號","24.9","4房/2廳/2衛","12 /共19層","45.37","3.75","--",0,80,3630,"0026"
"10401(實價)","公寓","台北市松山區南京東路五段123巷6弄1~30號","","3房/2廳/2衛","4 /共4層","41.13","17.02","--",0,68.1,2800,"0026"
"10312(實價)","套房","台北市松山區八德路三段199巷1~30號","30.9","1房/1廳/1衛","7 /共7層","9.28","1.82","--",0,67.9,630,"0026"
